Timestamp,X,Y,Z
2025-03-30T19:33:28.425331,-3.13,0.03,11.33
2025-03-30T19:33:28.537787,0.98,-2.7,8.56
2025-03-30T19:33:28.653320,-0.9,-0.64,10.21
2025-03-30T19:33:28.776265,-2.36,-1.25,9.97
2025-03-30T19:33:28.889869,0.45,-2.03,10.47
2025-03-30T19:33:29.010034,-0.85,-0.79,9.93
2025-03-30T19:33:29.151075,-1.22,-0.82,9.71
2025-03-30T19:33:29.273973,-1.13,-0.68,9.89
2025-03-30T19:33:29.370482,-1.29,-0.54,9.75
2025-03-30T19:33:29.491122,-1.32,-0.55,9.76
2025-03-30T19:33:29.629549,-1.21,-0.65,9.81
2025-03-30T19:33:29.759085,-1.18,-0.61,9.8
2025-03-30T19:33:29.900354,-1.23,-0.6,9.79
2025-03-30T19:33:30.014056,-1.23,-0.6,9.78
2025-03-30T19:33:30.125199,-1.22,-0.64,9.81
2025-03-30T19:33:30.264834,-1.21,-0.65,9.81
2025-03-30T19:33:30.376959,-1.24,-0.61,9.78
2025-03-30T19:33:30.521898,-1.23,-0.61,9.81
2025-03-30T19:33:30.629424,-1.25,-0.6,9.78
2025-03-30T19:33:30.759455,-1.22,-0.63,9.77
2025-03-30T19:33:30.888306,-1.21,-0.66,9.86
2025-03-30T19:33:31.017263,-1.28,-0.63,9.76
2025-03-30T19:33:31.197889,-1.16,-0.64,9.83
2025-03-30T19:33:31.278269,-1.23,-0.62,9.78
2025-03-30T19:33:31.404131,-1.15,-0.61,9.8
2025-03-30T19:33:31.549337,1.18,-3.38,16.66
2025-03-30T19:33:31.651136,-4.59,0.32,11.92
2025-03-30T19:33:31.784378,-0.14,-0.82,12.75
2025-03-30T19:33:31.930851,-2.14,-0.17,11.04
2025-03-30T19:33:32.041800,-0.92,-0.24,9.23
2025-03-30T19:33:32.169261,-0.4,-0.33,5.36
2025-03-30T19:33:32.296381,-1.23,-2.13,5.27
2025-03-30T19:33:32.423144,1.36,-2.07,10.45
2025-03-30T19:33:32.565937,-1.81,-0.75,10.41
2025-03-30T19:33:32.677495,-1.93,-1.34,10.51
2025-03-30T19:33:32.812133,-1.32,-0.19,9.64
2025-03-30T19:33:32.933845,-2.06,-0.62,9.57
2025-03-30T19:33:33.067223,-1.65,-0.54,11.03
2025-03-30T19:33:33.218807,-2.23,-0.27,9.02
2025-03-30T19:33:33.318842,-2.16,-0.97,8.26
2025-03-30T19:33:33.444488,-1.42,-0.61,9.71
2025-03-30T19:33:33.583614,-2.36,-0.79,9.9
2025-03-30T19:33:33.714885,-0.44,-0.68,10.8
2025-03-30T19:33:33.834071,-2.57,-0.3,9.63
2025-03-30T19:33:33.949180,-1.12,-0.47,10.43
2025-03-30T19:33:34.086154,-2.06,-0.17,8.73
2025-03-30T19:33:34.235505,-1.12,0.12,7.9
