Timestamp,X,Y,Z
2025-03-30T19:30:42.467595,-1.28,-0.45,9.8
2025-03-30T19:30:42.559591,-1.28,-0.45,9.79
2025-03-30T19:30:42.694607,-1.29,-0.44,9.8
2025-03-30T19:30:42.827425,-1.29,-0.45,9.8
2025-03-30T19:30:42.942116,-1.28,-0.46,9.79
2025-03-30T19:30:43.068315,-1.28,-0.46,9.8
2025-03-30T19:30:43.204400,-1.28,-0.45,9.81
2025-03-30T19:30:43.325371,-1.3,-0.46,9.8
2025-03-30T19:30:43.452123,-1.28,-0.44,9.79
2025-03-30T19:30:43.587564,-1.15,-0.46,9.79
2025-03-30T19:30:43.728529,-1.26,-0.32,9.67
2025-03-30T19:30:43.849125,-1.25,-0.58,9.83
2025-03-30T19:30:43.969630,-1.4,-0.4,9.82
2025-03-30T19:30:44.102970,-1.39,-0.51,9.76
2025-03-30T19:30:44.255737,-1.4,-1.16,10.76
2025-03-30T19:30:44.370579,-3.13,-1.6,11.22
2025-03-30T19:30:44.491372,-1.77,0.03,11.36
2025-03-30T19:30:44.620201,-3.33,0.1,11.16
2025-03-30T19:30:44.758444,-1.95,-1.29,11.65
2025-03-30T19:30:44.870099,-2.17,0.14,8.95
2025-03-30T19:30:45.002048,-1.25,-1.01,6.77
2025-03-30T19:30:45.132983,-0.51,-0.27,5.56
2025-03-30T19:30:45.261200,-1.9,0.18,8.62
2025-03-30T19:30:45.379803,-3.03,-0.48,9.48
2025-03-30T19:30:45.500799,-2.19,-0.58,10.71
2025-03-30T19:30:45.628682,-1.86,-0.73,9.43
2025-03-30T19:30:45.767831,-2.11,-0.68,9.83
2025-03-30T19:30:45.875764,-2.08,-0.44,12.83
2025-03-30T19:30:46.017885,-4.3,0.72,15.45
2025-03-30T19:30:46.150258,-0.23,1.84,12.95
2025-03-30T19:30:46.257660,-0.55,2.52,10.1
2025-03-30T19:30:46.400829,-0.3,2.5,8.22
2025-03-30T19:30:46.536049,-0.27,0.81,4.96
2025-03-30T19:30:46.640352,1.68,0.23,4.28
2025-03-30T19:30:46.785874,-0.91,-2.27,6.11
2025-03-30T19:30:46.917211,1.48,0.53,11.19
2025-03-30T19:30:47.069445,3.25,-3.65,11.93
2025-03-30T19:30:47.163818,3.65,-3.09,7.46
2025-03-30T19:30:47.300400,3.16,-5.23,5.92
2025-03-30T19:30:47.421160,6.5,-6.61,6.65
2025-03-30T19:30:47.552918,4.82,-5.67,6.42
2025-03-30T19:30:47.683963,6.14,-5.46,5.29
2025-03-30T19:30:47.812739,6.5,-4.25,5.42
2025-03-30T19:30:47.946627,6.39,-4.77,5.83
2025-03-30T19:30:48.072210,6.76,-5.36,5.65
2025-03-30T19:30:48.213271,6.29,-6.46,4.84
2025-03-30T19:30:48.334667,2.68,-2.64,2.47
2025-03-30T19:30:48.477857,4.51,-3.52,1.96
2025-03-30T19:30:48.594519,7.2,-4.79,4.58
2025-03-30T19:30:48.721423,9.68,-5.09,5.3
2025-03-30T19:30:48.862232,11.18,-5.16,5.98
2025-03-30T19:30:48.977466,13.62,-5.33,6.38
2025-03-30T19:30:49.110807,12.16,-4.96,5.51
2025-03-30T19:30:49.239584,11.31,-3.98,5.2
2025-03-30T19:30:49.360264,10.38,-4.62,4.67
2025-03-30T19:30:49.490270,5.32,-2.81,2.55
2025-03-30T19:30:49.654759,2.53,-1.24,1.28
2025-03-30T19:30:49.751826,5.4,-4.21,2.26
2025-03-30T19:30:49.882999,6.62,-5.97,3.55
2025-03-30T19:30:50.033687,5.91,-4.97,2.5
2025-03-30T19:30:50.144773,1.78,-1.35,1.31
2025-03-30T19:30:50.268827,7.54,-4.44,2.34
2025-03-30T19:30:50.388572,9.85,-4.18,4.79
2025-03-30T19:30:50.537025,13.46,-6.01,5.28
2025-03-30T19:30:50.653394,15.08,-4.62,6.28
2025-03-30T19:30:50.763652,13.11,-4.41,5.13
2025-03-30T19:30:50.920266,11.92,-4.23,4.29
2025-03-30T19:30:51.028687,10.56,-4.46,4.22
2025-03-30T19:30:51.168259,5.85,-3.14,2.82
2025-03-30T19:30:51.278440,1.73,-0.98,1.09
2025-03-30T19:30:51.412354,6.01,-4.21,2.32
2025-03-30T19:30:51.560023,6.47,-6.17,3.0
2025-03-30T19:30:51.659052,2.78,-2.22,1.74
2025-03-30T19:30:51.794679,4.67,-1.77,1.11
2025-03-30T19:30:51.930535,9.78,-4.53,3.27
2025-03-30T19:30:52.039455,11.29,-4.33,3.45
2025-03-30T19:30:52.167194,14.66,-4.84,3.84
