Timestamp,X,Y,Z
2025-03-30T14:50:19.517074,-1.21,-0.42,9.79
2025-03-30T14:50:19.621350,-1.2,-0.42,9.78
2025-03-30T14:50:19.763380,-1.19,-0.43,9.78
2025-03-30T14:50:19.892247,-1.2,-0.42,9.78
2025-03-30T14:50:20.005477,-1.21,-0.44,9.78
2025-03-30T14:50:20.151013,-1.21,-0.43,9.78
2025-03-30T14:50:20.268532,-1.21,-0.43,9.78
2025-03-30T14:50:20.434639,-1.21,-0.42,9.78
2025-03-30T14:50:20.506,-1.2,-0.42,9.78
2025-03-30T14:50:20.626205,-1.21,-0.42,9.79
2025-03-30T14:50:20.767652,-1.2,-0.44,9.77
2025-03-30T14:50:20.892682,-1.2,-0.41,9.83
2025-03-30T14:50:21.052055,-1.19,-0.46,9.78
2025-03-30T14:50:21.176951,-1.22,-0.43,9.77
2025-03-30T14:50:21.289970,-1.21,-0.42,9.79
2025-03-30T14:50:21.404134,-1.2,-0.43,9.78
2025-03-30T14:50:21.553451,-1.21,-0.42,9.8
2025-03-30T14:50:21.672677,-1.2,-0.46,9.77
2025-03-30T14:50:21.807576,-1.21,-0.43,9.8
2025-03-30T14:50:21.943102,-1.21,-0.28,9.5
2025-03-30T14:50:22.085316,-1.24,-0.24,9.72
2025-03-30T14:50:22.180042,-0.81,-0.48,9.81
2025-03-30T14:50:22.322887,-1.05,-0.62,9.85
2025-03-30T14:50:22.446440,-1.1,-0.53,9.83
2025-03-30T14:50:22.569919,-1.67,-0.09,9.23
2025-03-30T14:50:22.716727,-3.05,0.65,11.41
2025-03-30T14:50:22.833833,-3.65,-2.1,10.42
2025-03-30T14:50:22.958659,-1.37,-1.59,12.01
2025-03-30T14:50:23.124388,-2.24,-0.96,11.15
2025-03-30T14:50:23.241137,-1.63,-1.19,9.08
2025-03-30T14:50:23.369647,-0.69,-0.93,6.4
2025-03-30T14:50:23.497642,-0.9,-1.42,6.6
2025-03-30T14:50:23.626786,-1.25,-1.64,9.84
2025-03-30T14:50:23.755625,-3.23,-1.14,8.37
2025-03-30T14:50:23.862018,-1.39,-1.59,9.7
2025-03-30T14:50:24.004047,-1.99,-0.88,8.76
2025-03-30T14:50:24.122694,-2.11,-1.04,8.61
2025-03-30T14:50:24.260449,-2.01,-1.09,9.81
2025-03-30T14:50:24.368626,-1.55,-0.86,9.95
2025-03-30T14:50:24.536144,-1.99,-0.09,11.05
2025-03-30T14:50:24.624958,-2.15,0.74,11.05
2025-03-30T14:50:24.773876,-0.29,-0.17,12.74
2025-03-30T14:50:24.910617,-0.89,1.42,12.49
2025-03-30T14:50:25.025698,-0.33,1.51,10.66
2025-03-30T14:50:25.143972,-0.03,2.05,8.87
2025-03-30T14:50:25.260568,-0.08,2.1,5.26
2025-03-30T14:50:25.411622,1.9,2.99,3.61
2025-03-30T14:50:25.522475,1.78,2.54,4.3
2025-03-30T14:50:25.639758,-0.51,1.24,7.13
2025-03-30T14:50:25.791599,-3.09,-0.7,10.27
2025-03-30T14:50:25.903035,-1.6,-1.02,12.79
2025-03-30T14:50:26.033379,-2.08,-0.75,11.17
2025-03-30T14:50:26.151600,-2.53,-1.35,10.36
2025-03-30T14:50:26.307167,-3.26,-0.87,10.75
2025-03-30T14:50:26.397842,-3.08,-1.51,9.95
2025-03-30T14:50:26.522235,-2.56,-1.06,9.96
2025-03-30T14:50:26.684667,-2.81,-1.06,9.66
2025-03-30T14:50:26.782357,-3.0,-0.54,10.99
2025-03-30T14:50:26.912992,-2.61,-0.34,11.89
2025-03-30T14:50:27.046171,-1.66,-0.1,12.64
2025-03-30T14:50:27.172873,-1.22,1.56,12.09
2025-03-30T14:50:27.293865,-0.74,1.03,10.38
2025-03-30T14:50:27.417441,-0.82,3.15,6.64
2025-03-30T14:50:27.533341,0.97,2.21,4.95
2025-03-30T14:50:27.698709,1.56,3.1,3.98
2025-03-30T14:50:27.791991,0.09,2.7,5.27
2025-03-30T14:50:27.937940,-1.65,0.93,8.33
2025-03-30T14:50:28.088562,-1.79,-0.62,11.11
2025-03-30T14:50:28.181349,-2.64,-1.71,11.61
2025-03-30T14:50:28.312984,-2.53,-0.92,10.61
2025-03-30T14:50:28.433673,-2.88,-1.62,11.87
2025-03-30T14:50:28.574370,-3.02,-1.73,10.34
2025-03-30T14:50:28.693385,-2.85,-1.38,10.12
2025-03-30T14:50:28.822528,-3.01,-1.47,9.48
2025-03-30T14:50:28.979348,-2.91,-0.94,10.15
2025-03-30T14:50:29.086363,-2.81,-0.44,11.15
2025-03-30T14:50:29.207244,-2.36,-0.34,12.29
2025-03-30T14:50:29.325261,-1.67,0.56,12.93
2025-03-30T14:50:29.470851,-1.08,1.17,11.17
2025-03-30T14:50:29.572807,-1.02,1.73,8.24
2025-03-30T14:50:29.700037,0.09,2.15,5.09
2025-03-30T14:50:29.839235,2.05,3.68,3.35
2025-03-30T14:50:29.948544,1.34,3.15,4.17
2025-03-30T14:50:30.087602,-0.05,2.18,6.94
2025-03-30T14:50:30.189757,-1.61,-0.67,10.23
2025-03-30T14:50:30.318727,-2.61,-0.27,11.33
2025-03-30T14:50:30.459363,-1.96,-2.0,12.29
2025-03-30T14:50:30.590074,-2.96,-0.52,11.15
2025-03-30T14:50:30.703136,-2.74,-1.95,11.14
2025-03-30T14:50:30.827560,-2.89,-1.46,10.29
2025-03-30T14:50:30.954731,-2.84,-1.57,9.78
2025-03-30T14:50:31.106162,-2.71,-1.36,9.74
2025-03-30T14:50:31.218612,-3.08,-0.98,10.23
2025-03-30T14:50:31.352087,-2.68,-0.49,11.34
2025-03-30T14:50:31.500794,-2.05,-0.59,12.33
2025-03-30T14:50:31.620541,-1.89,-0.12,12.98
2025-03-30T14:50:31.740020,-1.08,1.63,10.68
2025-03-30T14:50:31.859923,-0.28,2.2,7.66
2025-03-30T14:50:32.004108,1.12,2.85,5.05
2025-03-30T14:50:32.137590,1.84,3.41,3.57
2025-03-30T14:50:32.281929,1.36,3.31,4.61
2025-03-30T14:50:32.387376,-0.11,1.88,7.29
2025-03-30T14:50:32.515226,-1.85,0.64,9.65
2025-03-30T14:50:32.624680,-2.41,-1.91,11.89
2025-03-30T14:50:32.760348,-2.31,-0.2,11.18
2025-03-30T14:50:32.881342,-3.07,-1.9,12.26
2025-03-30T14:50:33.007020,-2.74,-1.54,10.14
2025-03-30T14:50:33.155752,-3.15,-1.36,9.7
2025-03-30T14:50:33.269293,-2.7,-1.46,9.85
2025-03-30T14:50:33.391754,-2.82,-1.19,9.44
2025-03-30T14:50:33.542221,-2.68,-0.94,10.31
2025-03-30T14:50:33.664246,-2.51,-0.2,11.3
2025-03-30T14:50:33.791759,-2.47,-0.82,12.56
2025-03-30T14:50:33.932414,-2.13,0.42,12.94
2025-03-30T14:50:34.042707,-0.83,0.97,11.06
2025-03-30T14:50:34.184444,-0.76,1.25,8.03
2025-03-30T14:50:34.325860,0.94,2.45,4.49
2025-03-30T14:50:34.435632,1.92,3.91,3.0
2025-03-30T14:50:34.593639,0.59,3.45,4.79
2025-03-30T14:50:34.706186,-0.8,1.17,7.86
2025-03-30T14:50:34.817328,-2.39,-0.68,10.63
2025-03-30T14:50:34.952512,-2.29,-2.06,11.49
2025-03-30T14:50:35.094281,-2.33,-0.59,11.81
2025-03-30T14:50:35.249943,-2.79,-1.53,11.87
2025-03-30T14:50:35.338892,-3.28,-1.35,9.95
2025-03-30T14:50:35.460582,-2.53,-1.12,9.91
2025-03-30T14:50:35.590787,-2.96,-1.53,9.56
2025-03-30T14:50:35.725117,-2.8,-1.02,9.78
2025-03-30T14:50:35.848417,-2.74,-0.74,10.49
2025-03-30T14:50:35.972846,-2.36,-0.13,11.42
2025-03-30T14:50:36.107782,-1.84,-0.45,11.94
2025-03-30T14:50:36.234664,-1.95,1.39,11.97
2025-03-30T14:50:36.380545,-0.94,1.38,10.08
2025-03-30T14:50:36.496569,-0.19,1.76,7.87
2025-03-30T14:50:36.632226,0.59,2.58,5.05
2025-03-30T14:50:36.776526,1.47,3.07,3.49
2025-03-30T14:50:36.885914,0.01,3.03,5.51
2025-03-30T14:50:37.014579,-1.15,0.13,8.48
2025-03-30T14:50:37.166681,-2.25,-0.55,10.52
2025-03-30T14:50:37.274996,-2.49,-0.72,11.51
2025-03-30T14:50:37.398073,-2.57,-0.68,11.65
2025-03-30T14:50:37.544881,-2.65,-2.24,11.33
2025-03-30T14:50:37.650335,-3.56,-1.3,10.0
2025-03-30T14:50:37.789541,-2.82,-1.57,9.8
2025-03-30T14:50:37.929916,-2.92,-1.26,9.32
2025-03-30T14:50:38.044571,-2.87,-1.16,10.54
2025-03-30T14:50:38.179559,-2.62,-0.42,11.03
2025-03-30T14:50:38.306129,-2.09,-0.37,11.81
2025-03-30T14:50:38.435798,-1.82,-0.32,13.33
2025-03-30T14:50:38.577519,-1.47,1.59,11.11
2025-03-30T14:50:38.707072,-0.83,1.47,8.41
2025-03-30T14:50:38.835241,0.8,2.1,6.09
2025-03-30T14:50:38.985329,1.14,3.3,3.65
2025-03-30T14:50:39.095219,0.9,2.46,4.77
2025-03-30T14:50:39.227693,-0.45,1.68,7.45
2025-03-30T14:50:39.353270,-2.15,-0.41,9.97
2025-03-30T14:50:39.479589,-2.28,0.08,10.97
2025-03-30T14:50:39.605602,-2.55,-1.22,11.4
2025-03-30T14:50:39.750586,-2.89,-1.55,11.45
2025-03-30T14:50:39.860464,-3.19,-1.69,10.46
2025-03-30T14:50:39.986245,-2.54,-1.38,10.14
2025-03-30T14:50:40.105439,-2.98,-1.23,9.48
2025-03-30T14:50:40.235568,-2.68,-1.33,9.74
2025-03-30T14:50:40.362416,-2.81,-0.63,10.39
2025-03-30T14:50:40.487137,-2.15,-0.72,11.47
2025-03-30T14:50:40.612103,-2.04,-0.2,11.74
2025-03-30T14:50:40.734746,-1.63,0.08,12.71
2025-03-30T14:50:40.846037,-1.36,1.18,11.29
2025-03-30T14:50:40.986477,-0.51,1.49,9.12
2025-03-30T14:50:41.102373,0.04,1.89,6.24
2025-03-30T14:50:41.222566,1.57,3.84,3.87
2025-03-30T14:50:41.349230,1.34,2.99,4.08
2025-03-30T14:50:41.466382,-0.14,2.28,6.51
2025-03-30T14:50:41.593223,-1.34,0.24,9.04
2025-03-30T14:50:41.717979,-2.3,-0.83,11.33
2025-03-30T14:50:41.879632,-2.41,-1.18,11.46
2025-03-30T14:50:41.963311,-2.36,-0.93,11.59
2025-03-30T14:50:42.093104,-3.42,-1.21,10.55
2025-03-30T14:50:42.211922,-3.04,-1.54,10.36
2025-03-30T14:50:42.341883,-3.0,-1.18,9.63
2025-03-30T14:50:42.469593,-2.9,-1.4,9.41
2025-03-30T14:50:42.642117,-2.61,-1.03,10.28
2025-03-30T14:50:42.728509,-2.72,-0.46,10.92
2025-03-30T14:50:42.850778,-2.35,-0.1,11.04
2025-03-30T14:50:42.990683,-1.51,0.14,12.02
2025-03-30T14:50:43.116745,-1.35,1.91,11.83
2025-03-30T14:50:43.246696,-0.91,1.4,9.7
2025-03-30T14:50:43.400494,-0.77,1.88,7.41
2025-03-30T14:50:43.513031,1.39,3.78,3.94
2025-03-30T14:50:43.631648,1.44,2.96,3.58
2025-03-30T14:50:43.750294,0.25,2.88,6.59
2025-03-30T14:50:43.875139,-1.68,0.15,9.2
2025-03-30T14:50:44.025638,-2.18,-0.01,10.7
2025-03-30T14:50:44.637480,-2.61,-0.78,10.83
2025-03-30T14:50:44.644087,-2.71,-0.73,11.2
2025-03-30T14:50:44.649618,-2.62,-1.44,11.3
2025-03-30T14:50:44.654817,-3.15,-1.55,10.17
2025-03-30T14:50:44.661858,-2.72,-1.36,9.84
2025-03-30T14:50:44.754307,-3.01,-1.19,9.56
2025-03-30T14:50:44.880808,-2.5,-1.27,9.56
2025-03-30T14:50:45.013712,-2.4,-0.98,10.18
2025-03-30T14:50:45.143386,-2.54,-0.32,10.43
2025-03-30T14:50:45.272807,-2.25,0.32,10.99
2025-03-30T14:50:45.408486,-1.37,-0.27,12.26
2025-03-30T14:50:45.535524,-1.42,0.94,11.91
2025-03-30T14:50:45.668756,-0.75,1.74,10.65
2025-03-30T14:50:45.785847,-0.19,1.69,8.47
2025-03-30T14:50:45.924582,0.49,3.49,5.42
2025-03-30T14:50:46.042632,1.99,3.48,4.02
2025-03-30T14:50:46.168760,0.82,3.28,4.81
2025-03-30T14:50:46.298602,-0.4,1.51,7.2
2025-03-30T14:50:46.419496,-2.08,0.75,9.89
2025-03-30T14:50:46.549195,-2.7,-0.88,11.18
2025-03-30T14:50:46.684208,-2.3,-1.09,11.43
2025-03-30T14:50:46.821059,-2.68,-1.25,11.4
2025-03-30T14:50:46.952789,-2.59,-2.52,11.4
2025-03-30T14:50:47.094179,-2.55,-1.48,10.63
2025-03-30T14:50:47.199876,-2.71,-0.99,10.04
2025-03-30T14:50:47.340692,-2.51,-1.17,9.38
2025-03-30T14:50:47.476937,-2.13,-0.96,8.94
2025-03-30T14:50:47.597076,-1.71,-0.37,7.51
2025-03-30T14:50:47.712290,-1.99,-0.42,5.51
2025-03-30T14:50:47.839412,-1.84,-0.78,9.51
2025-03-30T14:50:47.975896,-2.85,-0.95,9.85
2025-03-30T14:50:48.104775,-2.62,-0.2,10.46
2025-03-30T14:50:48.232970,-2.75,-1.27,10.85
2025-03-30T14:50:48.366241,-2.32,-0.5,11.1
2025-03-30T14:50:48.487915,-2.48,-0.32,10.47
2025-03-30T14:50:48.607838,-2.5,-0.61,10.26
2025-03-30T14:50:48.735477,-1.99,-0.67,9.86
2025-03-30T14:50:48.875783,-1.16,-0.59,10.29
2025-03-30T14:50:48.992316,-1.57,-0.25,9.7
2025-03-30T14:50:49.114156,1.3,-0.55,10.51
2025-03-30T14:50:49.244648,-0.39,-1.28,9.98
2025-03-30T14:50:49.380767,-0.55,-0.75,10.15
2025-03-30T14:50:49.504936,-1.42,-0.38,9.59
2025-03-30T14:50:49.643132,-1.09,-0.68,9.82
2025-03-30T14:50:49.760015,-1.24,-0.58,9.73
2025-03-30T14:50:49.898453,-1.16,-0.63,9.81
2025-03-30T14:50:50.025216,-1.21,-0.61,9.76
2025-03-30T14:50:50.151635,-1.19,-0.6,9.78
2025-03-30T14:50:50.280374,-1.18,-0.62,9.78
2025-03-30T14:50:50.408067,-1.18,-0.6,9.78
2025-03-30T14:50:50.537370,-1.19,-0.62,9.78
2025-03-30T14:50:50.674181,-1.19,-0.61,9.78
2025-03-30T14:50:50.798040,-1.19,-0.61,9.78
2025-03-30T14:50:50.911943,-1.18,-0.6,9.78
2025-03-30T14:50:51.040172,-1.19,-0.61,9.77
2025-03-30T14:50:51.210574,-1.19,-0.61,9.78
2025-03-30T14:50:51.285148,-1.19,-0.61,9.78
2025-03-30T14:50:51.440989,-1.18,-0.61,9.77
2025-03-30T14:50:51.550793,-1.19,-0.61,9.77
2025-03-30T14:50:51.686669,-1.19,-0.61,9.78
2025-03-30T14:50:51.817634,-1.18,-0.61,9.78
2025-03-30T14:50:51.932236,-1.19,-0.6,9.77
2025-03-30T14:50:52.050730,-1.19,-0.61,9.78
2025-03-30T14:50:52.195924,-1.19,-0.6,9.79
2025-03-30T14:50:52.306743,-1.19,-0.6,9.77
2025-03-30T14:50:52.459950,-1.18,-0.6,9.78
2025-03-30T14:50:52.572625,-1.18,-0.61,9.79
2025-03-30T14:50:52.707306,-1.18,-0.6,9.77
2025-03-30T14:50:52.835931,-1.18,-0.62,9.77
2025-03-30T14:50:52.958,-1.18,-0.61,9.78
2025-03-30T14:50:53.087851,-1.18,-0.62,9.77
2025-03-30T14:50:53.226425,-1.18,-0.61,9.78
2025-03-30T14:50:53.342018,-1.18,-0.61,9.78
2025-03-30T14:50:53.505798,-1.19,-0.61,9.77
2025-03-30T14:50:53.588017,-1.18,-0.61,9.79
2025-03-30T14:50:53.717590,-1.19,-0.61,9.77
2025-03-30T14:50:53.873587,-1.18,-0.6,9.79
2025-03-30T14:50:53.993279,-1.18,-0.62,9.78
2025-03-30T14:50:54.126214,-1.18,-0.61,9.78
2025-03-30T14:50:54.255500,-1.19,-0.61,9.77
2025-03-30T14:50:54.387789,-1.19,-0.61,9.78
2025-03-30T14:50:54.505444,-1.18,-0.61,9.78
2025-03-30T14:50:54.626837,-1.19,-0.61,9.77
2025-03-30T14:50:54.760827,-1.18,-0.62,9.77
2025-03-30T14:50:54.885143,-1.19,-0.6,9.78
2025-03-30T14:50:55.038805,-1.19,-0.61,9.78
2025-03-30T14:50:55.150867,-1.18,-0.61,9.77
2025-03-30T14:50:55.286154,-1.18,-0.61,9.78
2025-03-30T14:50:55.403745,-1.19,-0.61,9.77
2025-03-30T14:50:55.543667,-1.18,-0.6,9.78
2025-03-30T14:50:55.682119,-1.19,-0.61,9.78
2025-03-30T14:50:55.790668,-1.19,-0.6,9.77
2025-03-30T14:50:55.929089,-1.18,-0.61,9.77
2025-03-30T14:50:56.055612,-1.17,-0.61,9.79
2025-03-30T14:50:56.186308,-1.18,-0.62,9.77
2025-03-30T14:50:56.302520,-1.19,-0.61,9.78
2025-03-30T14:50:56.444862,-1.2,-0.61,9.76
2025-03-30T14:50:56.567630,-1.19,-0.62,9.78
2025-03-30T14:50:56.692215,-1.18,-0.6,9.78
2025-03-30T14:50:56.815374,-1.18,-0.62,9.76
2025-03-30T14:50:56.982215,-1.18,-0.62,9.77
2025-03-30T14:50:57.096270,-1.19,-0.61,9.78
2025-03-30T14:50:57.198568,-1.18,-0.61,9.78
2025-03-30T14:50:57.330861,-1.18,-0.62,9.77
2025-03-30T14:50:57.457458,-1.19,-0.61,9.78
2025-03-30T14:50:57.620156,-1.19,-0.61,9.78
2025-03-30T14:50:57.715672,-1.18,-0.61,9.76
2025-03-30T14:50:57.861950,-1.18,-0.61,9.78
2025-03-30T14:50:57.977457,-1.19,-0.61,9.77
2025-03-30T14:50:58.121616,-1.18,-0.61,9.77
2025-03-30T14:50:58.241894,-1.18,-0.61,9.77
2025-03-30T14:50:58.359836,-1.19,-0.62,9.77
2025-03-30T14:50:58.496546,-1.19,-0.62,9.78
2025-03-30T14:50:58.622601,-1.18,-0.61,9.78
2025-03-30T14:50:58.751359,-1.18,-0.61,9.77
2025-03-30T14:50:58.886412,-1.18,-0.61,9.78
2025-03-30T14:50:59.027385,-1.18,-0.62,9.78
2025-03-30T14:50:59.163133,-1.18,-0.61,9.77
2025-03-30T14:50:59.274240,-1.18,-0.61,9.76
2025-03-30T14:50:59.396724,-1.18,-0.61,9.76
2025-03-30T14:50:59.561681,-1.19,-0.6,9.78
2025-03-30T14:50:59.651744,-1.18,-0.61,9.78
2025-03-30T14:50:59.790879,-1.19,-0.6,9.77
2025-03-30T14:50:59.924496,-1.18,-0.61,9.78
2025-03-30T14:51:00.025556,-1.18,-0.61,9.76
2025-03-30T14:51:00.160004,-1.18,-0.62,9.77
2025-03-30T14:51:00.273579,-1.18,-0.61,9.77
2025-03-30T14:51:00.415059,-1.18,-0.61,9.77
2025-03-30T14:51:00.514133,-1.18,-0.61,9.77
2025-03-30T14:51:00.640394,-1.18,-0.61,9.77
2025-03-30T14:51:00.759078,-1.19,-0.61,9.77
2025-03-30T14:51:00.888207,-1.2,-0.61,9.77
2025-03-30T14:51:01.023621,-1.19,-0.62,9.77
2025-03-30T14:51:01.127273,-1.19,-0.61,9.78
2025-03-30T14:51:01.259757,-1.19,-0.61,9.77
2025-03-30T14:51:01.401460,-1.18,-0.61,9.77
2025-03-30T14:51:01.528567,-1.19,-0.58,9.78
2025-03-30T14:51:01.662455,-1.16,-0.62,9.78
2025-03-30T14:51:01.775811,-1.18,-0.62,9.77
2025-03-30T14:51:01.902168,-1.19,-0.62,9.77
2025-03-30T14:51:02.040978,-1.18,-0.63,9.77
2025-03-30T14:51:02.176188,-1.19,-0.58,9.78
2025-03-30T14:51:02.283661,-1.18,-0.62,9.77
2025-03-30T14:51:02.435395,-1.07,-0.63,9.8
2025-03-30T14:51:02.559411,-1.18,-0.56,9.75
2025-03-30T14:51:02.678136,-1.3,-0.52,9.7
2025-03-30T14:51:02.816544,-1.22,-0.66,9.8
2025-03-30T14:51:02.919517,-2.99,-3.84,12.18
2025-03-30T14:51:03.041098,-3.95,-0.95,11.95
2025-03-30T14:51:03.182418,-0.07,0.25,13.31
2025-03-30T14:51:03.328856,-2.15,-0.85,12.77
2025-03-30T14:51:03.447229,-1.36,-0.99,9.38
2025-03-30T14:51:03.550719,-0.83,-2.37,4.09
2025-03-30T14:51:03.711075,-0.32,0.36,5.25
2025-03-30T14:51:03.829735,-1.01,-1.86,9.64
2025-03-30T14:51:03.940501,-2.98,-0.94,9.12
2025-03-30T14:51:04.077928,-1.07,-0.89,10.08
2025-03-30T14:51:04.214171,-1.26,-0.37,10.46
2025-03-30T14:51:04.351116,-2.14,1.02,12.0
2025-03-30T14:51:04.465321,-1.14,0.57,12.36
2025-03-30T14:51:04.578728,-0.96,1.73,13.15
2025-03-30T14:51:04.716503,0.14,2.8,11.07
2025-03-30T14:51:04.831898,-0.02,2.13,7.25
2025-03-30T14:51:04.943456,0.32,2.41,3.39
2025-03-30T14:51:05.083842,2.14,3.82,1.71
2025-03-30T14:51:05.216184,0.91,3.63,4.38
2025-03-30T14:51:05.369362,-0.62,1.44,8.1
2025-03-30T14:51:05.480616,-2.19,-0.68,11.88
2025-03-30T14:51:05.599809,-2.52,-0.51,12.3
2025-03-30T14:51:05.712635,-2.42,-1.1,11.97
2025-03-30T14:51:05.849344,-3.31,-1.35,11.39
2025-03-30T14:51:05.978425,-2.87,-0.94,10.28
2025-03-30T14:51:06.092410,-2.99,-0.8,9.67
2025-03-30T14:51:06.262543,-2.68,-0.69,10.59
2025-03-30T14:51:06.347118,-2.89,0.32,11.49
2025-03-30T14:51:06.466575,-2.08,0.6,12.63
2025-03-30T14:51:06.628258,-1.86,1.47,13.12
2025-03-30T14:51:06.752178,-0.99,2.02,10.76
2025-03-30T14:51:06.860357,-0.27,2.35,7.34
2025-03-30T14:51:06.988661,1.0,3.42,3.0
2025-03-30T14:51:07.113132,1.94,4.17,1.32
2025-03-30T14:51:07.250298,0.9,3.99,4.68
2025-03-30T14:51:07.366196,-1.11,1.38,8.31
2025-03-30T14:51:07.500526,-2.65,0.87,11.75
2025-03-30T14:51:07.624133,-2.51,-0.68,11.67
2025-03-30T14:51:07.757659,-2.4,0.22,12.11
2025-03-30T14:51:07.928558,-3.22,-0.77,10.51
2025-03-30T14:51:08.026814,-2.86,-0.62,9.94
2025-03-30T14:51:08.149735,-2.94,-0.83,9.99
2025-03-30T14:51:08.296425,-2.43,-0.37,10.02
2025-03-30T14:51:08.418858,-2.89,0.4,11.06
2025-03-30T14:51:08.541123,-2.36,0.57,12.08
2025-03-30T14:51:08.664288,-1.67,1.62,13.26
2025-03-30T14:51:08.797191,-0.83,2.31,11.45
2025-03-30T14:51:08.946708,-0.99,1.95,8.45
2025-03-30T14:51:09.063498,0.23,2.88,3.45
2025-03-30T14:51:09.175387,1.86,3.62,1.51
2025-03-30T14:51:09.325560,0.86,3.85,3.99
2025-03-30T14:51:09.446670,-0.74,1.69,7.73
2025-03-30T14:51:09.579112,-2.37,1.11,10.83
2025-03-30T14:51:09.684520,-2.95,-0.19,11.81
2025-03-30T14:51:09.812333,-2.47,-0.3,12.21
2025-03-30T14:51:09.951848,-3.14,-0.4,10.32
2025-03-30T14:51:10.086529,-2.81,-0.61,9.76
2025-03-30T14:51:10.193976,-2.6,-0.48,10.3
2025-03-30T14:51:10.331350,-2.82,-0.37,10.11
2025-03-30T14:51:10.461644,-2.73,1.07,11.25
2025-03-30T14:51:10.593416,-2.33,0.39,12.89
2025-03-30T14:51:10.717784,-1.34,1.41,13.54
2025-03-30T14:51:10.850498,-1.15,2.09,10.88
2025-03-30T14:51:10.980961,-0.73,1.96,7.56
2025-03-30T14:51:11.094869,1.32,2.97,2.67
2025-03-30T14:51:11.229333,2.01,2.85,2.39
2025-03-30T14:51:11.371335,0.64,3.58,4.77
2025-03-30T14:51:11.500929,-1.53,1.11,8.24
2025-03-30T14:51:11.616907,-2.39,0.96,11.63
2025-03-30T14:51:11.753877,-2.67,0.11,12.41
2025-03-30T14:51:11.866852,-3.17,-0.12,12.45
2025-03-30T14:51:11.987129,-3.05,-0.76,10.32
2025-03-30T14:51:12.145550,-3.14,-0.49,9.71
2025-03-30T14:51:12.256448,-2.64,-0.46,10.07
2025-03-30T14:51:12.386846,-2.7,0.07,10.44
2025-03-30T14:51:12.508086,-2.72,0.58,11.83
2025-03-30T14:51:12.649449,-1.63,0.65,12.52
2025-03-30T14:51:12.758755,-1.45,2.42,12.59
2025-03-30T14:51:12.901148,-0.75,2.29,10.28
2025-03-30T14:51:13.020094,-0.68,2.83,6.79
