Timestamp,X,Y,Z,Label
24:37.0,1.05,0.15,-9.8,
24:37.0,1.06,0.14,-9.8,
24:37.0,1.07,0.14,-9.81,
24:37.1,1.05,0.14,-9.8,
24:37.1,1.05,0.14,-9.8,
24:37.1,1.07,0.15,-9.81,
24:37.1,1.06,0.15,-9.8,
24:37.1,1.05,0.15,-9.8,
24:37.2,1.06,0.15,-9.8,
24:37.2,1.07,0.15,-9.8,
24:37.2,1.06,0.14,-9.81,
24:37.2,1.06,0.15,-9.8,
24:37.3,1.05,0.15,-9.8,
24:37.3,1.05,0.15,-9.8,
24:37.3,1.06,0.15,-9.79,
24:37.3,1.06,0.14,-9.8,
24:37.3,1.06,0.15,-9.79,
24:37.4,1.06,0.15,-9.8,
24:37.4,1.06,0.15,-9.81,
24:37.4,1.05,0.15,-9.81,
24:37.4,1.06,0.15,-9.81,
24:37.5,1.07,0.14,-9.8,
24:37.5,1.05,0.14,-9.81,
24:37.5,1.06,0.15,-9.8,
24:37.5,1.06,0.14,-9.8,
24:37.5,1.06,0.14,-9.8,
24:37.6,1.05,0.15,-9.82,
24:37.6,1.05,0.14,-9.81,
24:37.6,1.06,0.14,-9.81,
24:37.6,1.05,0.15,-9.8,
24:37.7,1.06,0.15,-9.8,
24:37.7,1.06,0.14,-9.8,
24:37.7,1.06,0.14,-9.81,
24:37.7,1.05,0.15,-9.82,
24:37.7,1.05,0.15,-9.81,
24:37.8,1.04,0.15,-9.8,
24:37.8,1.06,0.14,-9.8,
24:37.8,1.06,0.15,-9.81,
24:37.8,1.06,0.15,-9.79,
24:37.9,1.04,0.15,-9.79,
24:37.9,1.05,0.14,-9.8,
24:37.9,1.08,0.14,-9.81,
24:37.9,1.07,0.14,-9.8,
24:37.9,1.04,0.15,-9.82,
24:38.0,1.04,0.16,-9.81,
24:38.0,1.07,0.15,-9.8,
24:38.0,1.07,0.14,-9.8,
24:38.0,1.05,0.15,-9.81,
24:38.1,1.06,0.15,-9.8,
24:38.1,1.06,0.14,-9.8,
24:38.1,1.05,0.15,-9.8,
24:38.1,1.05,0.14,-9.81,
24:38.1,1.06,0.16,-9.8,
24:38.2,1.06,0.15,-9.81,
24:38.2,1.05,0.14,-9.82,
24:38.2,1.06,0.14,-9.8,
24:38.2,1.05,0.15,-9.81,
24:38.3,1.05,0.15,-9.81,
24:38.3,1.06,0.15,-9.81,
24:38.3,1.05,0.15,-9.79,
24:38.3,1.05,0.16,-9.82,
24:38.3,1.05,0.15,-9.82,
24:38.4,0.97,0.09,-9.83,
24:38.4,1.21,0.31,-9.8,
24:38.4,1.26,0.18,-9.73,
24:38.4,1.06,0.02,-9.77,
24:38.5,0.88,0.07,-9.87,
24:38.5,1.2,0.25,-9.77,
24:38.5,1.07,0.02,-9.78,
24:38.5,0.91,0.13,-9.85,
24:38.6,0.95,0.21,-9.85,
24:38.6,1.17,0.18,-9.78,
24:38.6,1.22,0.12,-9.74,
24:38.6,0.89,0.12,-9.87,
24:38.6,0.98,0.11,-9.83,
24:38.7,1.11,0.15,-9.78,
24:38.7,1.12,0.23,-9.81,
24:38.7,1.03,0.17,-9.82,
24:38.7,0.98,0.1,-9.83,
24:38.8,1.11,0.19,-9.81,
24:38.8,1.17,0.17,-9.77,
24:38.8,0.99,0.09,-9.81,
24:38.8,0.97,0.18,-9.84,
24:38.8,1.07,0.21,-9.82,
24:38.9,1.23,0.14,-9.75,
24:38.9,1.05,0.07,-9.81,
24:38.9,0.99,0.18,-9.84,
24:38.9,1.14,0.17,-9.78,
24:39.0,1.1,0.13,-9.78,
24:39.0,0.97,0.14,-9.84,
24:39.0,1.1,0.17,-9.8,
24:39.0,1.16,0.14,-9.78,
24:39.0,1.08,0.16,-9.79,
24:39.1,0.97,0.18,-9.85,
24:39.1,1.01,0.13,-9.83,
24:39.1,1.16,0.18,-9.78,
24:39.1,1.11,0.15,-9.78,
24:39.2,0.97,0.13,-9.82,
24:39.2,0.97,0.18,-9.83,
24:39.2,1.09,0.18,-9.81,
24:39.2,1.06,0.09,-9.79,
24:39.2,0.89,0.12,-9.87,
24:39.3,1.01,0.22,-9.86,
24:39.3,1.39,0.08,-9.71,
24:39.3,1.4,0.08,-9.7,
24:39.3,0.99,0.17,-9.84,
24:39.4,0.91,0.17,-9.87,
24:39.4,1.06,0.19,-9.83,
24:39.4,1.36,0.15,-9.73,
24:39.4,1.19,0.1,-9.74,
24:39.4,0.87,0.07,-9.82,
24:39.5,0.59,0.13,-9.96,
24:39.5,1.38,0.21,-9.72,
24:39.5,1.41,0.09,-9.68,
24:39.5,1,0.06,-9.81,
24:39.6,0.83,0.25,-9.9,
24:39.6,1.22,0.08,-9.75,
24:39.6,1.16,0.13,-9.76,
24:39.6,0.94,0.21,-9.86,
24:39.6,0.98,0.12,-9.83,
24:39.7,1.14,0.11,-9.77,
24:39.7,1.11,0.17,-9.79,
24:39.7,0.98,0.15,-9.83,
24:39.7,1.01,0.12,-9.81,
24:39.8,1.11,0.15,-9.79,
24:39.8,1.08,0.16,-9.79,
24:39.8,1.01,0.13,-9.81,
24:39.8,1.06,0.15,-9.8,
24:39.8,1.09,0.14,-9.81,
24:39.9,1.06,0.14,-9.82,
24:39.9,1.04,0.15,-9.81,
24:39.9,1.06,0.14,-9.79,
24:39.9,1.06,0.13,-9.79,
24:40.0,1.04,0.15,-9.81,
24:40.0,1.04,0.15,-9.82,
24:40.0,1.07,0.14,-9.8,
24:40.0,1.06,0.15,-9.81,
24:40.0,1.04,0.15,-9.82,
24:40.1,1.05,0.13,-9.8,
24:40.1,1.06,0.14,-9.8,
24:40.1,1.05,0.15,-9.8,
24:40.1,1.05,0.15,-9.81,
24:40.2,1.06,0.15,-9.81,
