Accelerometer Data
Timestamp,X,Y,Z
2025-03-30T19:22:47.759227,-2.36,-2.42,11.33
2025-03-30T19:22:47.902752,-2.78,-2.29,10.04
2025-03-30T19:22:48.004128,-1.46,1.03,11.46
2025-03-30T19:22:48.130986,-2.98,-1.0,11.56
2025-03-30T19:22:48.281706,-1.04,1.0,8.46
2025-03-30T19:22:48.384295,0.59,1.82,4.65
2025-03-30T19:22:48.519283,-2.77,1.15,5.4
2025-03-30T19:22:48.660721,0.88,-1.68,11.48
2025-03-30T19:22:48.792284,0.39,-0.17,9.77
2025-03-30T19:22:48.928058,-1.12,-0.91,9.42
2025-03-30T19:22:49.050867,-0.99,-1.66,9.1
2025-03-30T19:22:49.204641,0.36,-1.51,9.99
2025-03-30T19:22:49.328886,-1.01,-3.38,9.7
2025-03-30T19:22:49.443265,-0.57,-1.11,10.41
2025-03-30T19:22:49.585874,-2.69,0.08,10.17
2025-03-30T19:22:49.698593,-1.06,-0.51,9.65
2025-03-30T19:22:49.835551,-1.7,-0.32,9.91
2025-03-30T19:22:49.963113,-1.49,-0.29,9.67
2025-03-30T19:22:50.081828,-1.39,-0.04,8.83
2025-03-30T19:22:50.258193,-1.26,0.17,7.24
2025-03-30T19:22:50.348855,-1.04,-0.02,7.85
2025-03-30T19:22:50.473386,-1.54,-0.33,9.8
2025-03-30T19:22:50.632038,-1.67,0.18,10.8
2025-03-30T19:22:50.750234,-0.96,-0.25,11.48
2025-03-30T19:22:50.860865,-2.22,0.2,11.67
2025-03-30T19:22:50.981003,-1.68,-1.0,12.5
2025-03-30T19:22:51.117126,-2.46,0.03,16.77
2025-03-30T19:22:51.236322,0.31,0.47,16.22
2025-03-30T19:22:51.370277,-0.56,2.6,6.87
2025-03-30T19:22:51.501351,-0.79,2.87,2.53
2025-03-30T19:22:51.618942,-0.81,1.77,0.43
2025-03-30T19:22:51.760067,-0.37,0.65,5.05
2025-03-30T19:22:51.882636,-1.29,1.87,10.23
2025-03-30T19:22:52.017123,-1.49,0.83,14.36
2025-03-30T19:22:52.135868,-0.59,0.28,13.69
2025-03-30T19:22:52.303211,-0.61,-1.5,14.81
2025-03-30T19:22:52.400811,-3.23,-0.18,18.42
2025-03-30T19:22:52.558220,-0.65,2.65,11.64
2025-03-30T19:22:52.661157,-0.1,3.19,3.84
2025-03-30T19:22:52.789250,-0.31,2.19,-1.67
2025-03-30T19:22:52.929037,-0.5,1.11,3.19
2025-03-30T19:22:53.037779,-2.28,0.69,9.58
2025-03-30T19:22:53.180325,-2.33,0.06,14.39
2025-03-30T19:22:53.308142,-2.05,0.17,12.47
2025-03-30T19:22:53.418034,-1.95,-1.68,14.78
2025-03-30T19:22:53.561449,-1.74,-1.92,18.8
2025-03-30T19:22:53.726001,-1.03,3.56,10.62
2025-03-30T19:22:53.787063,0.39,2.18,4.69
2025-03-30T19:22:53.926102,-0.8,1.78,-0.55
2025-03-30T19:22:54.050880,-0.93,1.54,2.15
2025-03-30T19:22:54.179866,-0.77,0.83,9.3
2025-03-30T19:22:54.306476,-3.2,0.69,13.48
2025-03-30T19:22:54.452512,-1.73,-0.97,13.1
2025-03-30T19:22:54.577506,-2.23,-1.54,14.72
2025-03-30T19:22:54.693545,-1.44,-1.39,18.44
2025-03-30T19:22:54.824731,-0.71,1.47,10.59
2025-03-30T19:22:54.962588,0.56,2.42,4.54
2025-03-30T19:22:55.091765,-1.06,2.23,-0.74
2025-03-30T19:22:55.207280,-0.54,3.33,3.97
2025-03-30T19:22:55.338250,-0.99,2.64,9.55
2025-03-30T19:22:55.459522,-1.8,0.14,13.1
2025-03-30T19:22:55.590060,-2.12,-0.32,13.22
2025-03-30T19:22:55.724262,-1.96,-2.69,13.04
2025-03-30T19:22:55.848872,-2.57,-1.51,17.08
2025-03-30T19:22:55.977435,-0.6,3.19,10.69
2025-03-30T19:22:56.108570,-0.85,2.45,4.96
2025-03-30T19:22:56.247528,-0.5,1.96,-0.54
2025-03-30T19:22:56.369594,-0.21,1.45,4.47
2025-03-30T19:22:56.514152,-2.0,2.32,9.51
2025-03-30T19:22:56.646834,-2.45,-0.02,15.0
2025-03-30T19:22:56.760938,-2.54,0.63,13.44
2025-03-30T19:22:56.894157,-1.72,-2.13,11.35
2025-03-30T19:22:57.010893,-1.72,-1.52,16.6
2025-03-30T19:22:57.131419,-0.6,2.35,12.58
2025-03-30T19:22:57.282110,-0.63,2.05,4.99
2025-03-30T19:22:57.387798,-0.67,2.1,-0.76
2025-03-30T19:22:57.529757,-0.38,2.03,2.82
2025-03-30T19:22:57.662323,-0.92,1.61,8.51
2025-03-30T19:22:57.781093,-1.99,2.13,14.78
2025-03-30T19:22:57.907623,-2.35,0.12,14.21
2025-03-30T19:22:58.016040,-1.82,-1.97,13.25
2025-03-30T19:22:58.135783,-2.82,0.52,17.19
2025-03-30T19:22:58.279747,-0.75,2.61,12.76
2025-03-30T19:22:58.399260,-0.12,2.38,5.39
2025-03-30T19:22:58.529892,-0.94,2.57,-0.22
2025-03-30T19:22:58.639641,-0.85,2.22,2.19
2025-03-30T19:22:58.777535,-0.93,1.69,7.07
2025-03-30T19:22:58.889752,-2.28,1.87,12.62
2025-03-30T19:22:59.015054,-3.56,-1.72,15.11
2025-03-30T19:22:59.151580,-1.48,-1.63,12.94
2025-03-30T19:22:59.309534,-2.3,0.2,15.99
2025-03-30T19:22:59.432922,-1.83,1.3,14.67
2025-03-30T19:22:59.560433,-0.33,1.92,5.82
2025-03-30T19:22:59.675461,-0.98,2.32,0.93
2025-03-30T19:22:59.807585,-0.4,2.36,2.09
2025-03-30T19:22:59.933299,-0.98,1.8,6.66
2025-03-30T19:23:00.057518,-1.35,0.59,13.03
2025-03-30T19:23:00.190858,-2.35,-0.17,14.22
2025-03-30T19:23:00.318118,-1.75,-1.24,12.76
2025-03-30T19:23:00.453724,-2.47,1.06,16.27
2025-03-30T19:23:00.586030,-1.48,2.55,14.57
2025-03-30T19:23:00.725190,-0.31,1.69,5.9
2025-03-30T19:23:00.858372,-0.72,2.33,-0.01
2025-03-30T19:23:00.972717,-0.7,2.09,2.2
2025-03-30T19:23:01.097624,-0.8,1.49,7.7
2025-03-30T19:23:01.232749,-1.87,2.06,13.02
2025-03-30T19:23:01.348076,-3.26,1.12,13.56
2025-03-30T19:23:01.490885,-2.05,-1.0,11.51
2025-03-30T19:23:01.611601,-2.11,-0.3,14.81
2025-03-30T19:23:01.729938,-2.08,-0.29,16.55
2025-03-30T19:23:01.863165,-0.12,2.78,7.55
2025-03-30T19:23:01.985766,-0.48,2.56,2.97
2025-03-30T19:23:02.106937,-0.77,1.44,0.3
2025-03-30T19:23:02.241998,-1.13,2.44,5.45
2025-03-30T19:23:02.359242,-1.34,0.53,11.04
2025-03-30T19:23:02.490748,-2.61,1.63,11.92
2025-03-30T19:23:02.638905,-1.07,-1.29,14.14
2025-03-30T19:23:02.762077,-3.15,-1.0,13.47
2025-03-30T19:23:02.870780,-1.53,0.83,10.25
2025-03-30T19:23:03.014808,-1.36,0.03,9.26
2025-03-30T19:23:03.146505,-1.81,0.4,7.16
2025-03-30T19:23:03.285043,-0.95,0.2,8.15
2025-03-30T19:23:03.388059,-2.34,0.34,9.78
2025-03-30T19:23:03.515568,-2.25,0.31,10.23
2025-03-30T19:23:03.664331,-2.31,0.64,11.2
2025-03-30T19:23:03.794867,-5.91,3.18,16.73
2025-03-30T19:23:03.914409,-1.26,1.24,9.59
2025-03-30T19:23:04.033184,-1.8,1.56,9.06
2025-03-30T19:23:04.158604,-2.55,4.31,8.23
2025-03-30T19:23:04.307129,-1.82,-0.7,10.82
2025-03-30T19:23:04.427026,-1.37,0.11,10.23
2025-03-30T19:23:04.574250,-1.67,0.08,9.84
2025-03-30T19:23:04.694499,-1.38,-0.45,9.5
2025-03-30T19:23:04.851916,-1.13,-0.49,9.91
2025-03-30T19:23:04.963815,-1.26,-0.44,9.76
2025-03-30T19:23:05.092156,-1.2,-0.46,9.81
2025-03-30T19:23:05.231901,-1.22,-0.45,9.78
2025-03-30T19:23:05.361373,-1.22,-0.46,9.8
2025-03-30T19:23:05.481811,-1.22,-0.47,9.79
2025-03-30T19:23:05.614694,-1.23,-0.47,9.78
2025-03-30T19:23:05.746322,-1.22,-0.47,9.8
2025-03-30T19:23:05.861042,-1.22,-0.47,9.8
2025-03-30T19:23:05.993112,-1.22,-0.46,9.81
2025-03-30T19:23:06.124777,-1.22,-0.47,9.79
2025-03-30T19:23:06.261574,-1.23,-0.46,9.79
2025-03-30T19:23:06.389065,-1.22,-0.48,9.8
2025-03-30T19:23:06.505902,-1.23,-0.47,9.79
2025-03-30T19:23:06.639059,-1.23,-0.47,9.8
2025-03-30T19:23:06.771213,-1.22,-0.47,9.79
2025-03-30T19:23:06.904050,-1.22,-0.47,9.8
2025-03-30T19:23:07.039358,-1.22,-0.47,9.8
2025-03-30T19:23:07.152321,-1.23,-0.46,9.79
2025-03-30T19:23:07.281095,-1.22,-0.48,9.8
2025-03-30T19:23:07.407232,-1.22,-0.47,9.8
2025-03-30T19:23:07.547491,-1.22,-0.47,9.79
