Accelerometer Data
Timestamp,X,Y,Z
2025-03-30T19:27:24.262626,-1.32,-0.42,9.79
2025-03-30T19:27:24.357823,-1.32,-0.43,9.79
2025-03-30T19:27:24.490119,-1.31,-0.42,9.78
2025-03-30T19:27:24.642001,-1.31,-0.43,9.78
2025-03-30T19:27:24.749138,-1.29,-0.42,9.78
2025-03-30T19:27:24.895862,-1.31,-0.42,9.8
2025-03-30T19:27:25.040965,-1.31,-0.41,9.79
2025-03-30T19:27:25.137860,-1.31,-0.43,9.78
2025-03-30T19:27:25.286876,-1.28,-0.26,9.66
2025-03-30T19:27:25.438473,-1.37,-0.24,9.6
2025-03-30T19:27:25.547871,-1.63,-0.21,9.54
2025-03-30T19:27:25.690221,0.02,-1.63,13.56
2025-03-30T19:27:25.842879,-2.88,-2.63,12.0
2025-03-30T19:27:25.949926,-1.68,-0.91,12.16
2025-03-30T19:27:26.091893,-2.45,-1.15,11.48
2025-03-30T19:27:26.243993,-1.42,-0.82,8.26
2025-03-30T19:27:26.410226,-0.25,0.16,6.14
2025-03-30T19:27:26.493366,-1.57,-1.91,6.05
2025-03-30T19:27:26.641981,-2.34,-0.35,9.94
2025-03-30T19:27:26.748457,-1.46,-1.27,9.81
2025-03-30T19:27:26.893020,-2.45,-0.06,8.4
2025-03-30T19:27:26.999683,-2.19,-0.57,9.6
2025-03-30T19:27:27.143815,-1.73,-0.86,10.2
2025-03-30T19:27:27.341641,-1.85,-0.03,10.23
2025-03-30T19:27:27.393014,-2.41,0.61,12.92
2025-03-30T19:27:27.587501,-1.48,1.67,12.66
2025-03-30T19:27:27.700055,-1.33,1.08,12.27
2025-03-30T19:27:27.794447,-0.93,2.4,9.28
2025-03-30T19:27:27.966414,0.49,2.34,5.29
2025-03-30T19:27:28.092878,1.43,3.8,1.34
2025-03-30T19:27:28.190442,1.37,2.95,3.71
2025-03-30T19:27:28.338523,-0.18,0.97,7.78
2025-03-30T19:27:28.499475,-1.28,0.59,10.36
2025-03-30T19:27:28.592063,-3.03,1.13,11.46
2025-03-30T19:27:28.740026,-2.74,0.06,12.98
2025-03-30T19:27:28.920849,-3.01,-0.85,11.35
2025-03-30T19:27:28.992312,-3.08,-0.68,10.46
2025-03-30T19:27:29.141248,-2.78,-0.53,10.02
2025-03-30T19:27:29.241142,-3.02,0.2,11.22
2025-03-30T19:27:29.393778,-2.87,0.48,12.62
2025-03-30T19:27:29.541436,-2.33,1.03,13.79
2025-03-30T19:27:29.654402,-1.59,2.12,11.44
2025-03-30T19:27:29.804427,-0.96,1.61,6.89
2025-03-30T19:27:29.942026,0.98,2.73,2.73
2025-03-30T19:27:30.041466,1.82,3.68,1.36
2025-03-30T19:27:30.190164,0.29,2.6,5.43
2025-03-30T19:27:30.339675,-1.61,0.6,8.84
2025-03-30T19:27:30.450924,-2.35,-0.55,11.65
2025-03-30T19:27:30.599245,-2.19,1.55,12.13
2025-03-30T19:27:30.751269,-3.65,-0.52,12.33
2025-03-30T19:27:30.840441,-2.78,-1.2,9.78
2025-03-30T19:27:30.991199,-2.37,-0.82,10.49
2025-03-30T19:27:31.141282,-2.55,0.99,10.68
2025-03-30T19:27:31.258831,-3.34,0.89,12.39
2025-03-30T19:27:31.439900,-2.69,1.34,13.69
2025-03-30T19:27:31.540973,-1.27,0.97,13.09
2025-03-30T19:27:31.655519,-1.0,2.21,8.87
2025-03-30T19:27:31.802806,0.47,2.6,3.54
2025-03-30T19:27:31.892062,2.12,3.68,0.88
2025-03-30T19:27:32.194249,1.52,3.62,4.12
2025-03-30T19:27:32.198801,-1.43,0.96,8.56
2025-03-30T19:27:32.338259,-2.7,0.2,11.92
2025-03-30T19:27:32.438589,-2.26,0.05,12.56
2025-03-30T19:27:32.599060,-3.02,0.78,11.05
2025-03-30T19:27:32.694391,-2.51,-0.74,11.58
2025-03-30T19:27:32.846086,-3.09,-0.43,10.55
2025-03-30T19:27:33.005049,-2.55,-0.05,10.25
2025-03-30T19:27:33.104713,-3.28,0.89,11.44
2025-03-30T19:27:33.243171,-2.48,0.41,13.05
2025-03-30T19:27:33.407681,-2.22,1.44,13.47
2025-03-30T19:27:33.593496,-1.07,1.77,10.43
2025-03-30T19:27:33.690470,-1.26,1.94,5.97
2025-03-30T19:27:33.808590,1.59,3.65,1.72
2025-03-30T19:27:33.902406,1.58,3.44,2.17
2025-03-30T19:27:34.038909,-0.42,2.81,6.54
2025-03-30T19:27:34.189288,-2.87,-0.51,10.62
2025-03-30T19:27:34.355611,-2.61,0.73,12.04
2025-03-30T19:27:34.451890,-2.84,0.34,12.1
2025-03-30T19:27:34.589350,-2.92,-0.53,11.24
2025-03-30T19:27:34.714284,-2.61,-0.82,10.31
2025-03-30T19:27:34.854766,-2.59,-1.01,10.67
2025-03-30T19:27:34.988872,-3.01,-0.31,10.29
2025-03-30T19:27:35.100046,-3.17,0.66,11.8
2025-03-30T19:27:35.258326,-2.11,0.56,13.74
2025-03-30T19:27:35.338976,-1.6,1.81,12.83
2025-03-30T19:27:35.492830,-1.66,1.68,9.4
2025-03-30T19:27:35.651819,0.57,2.16,4.69
2025-03-30T19:27:35.741511,1.92,2.84,1.83
2025-03-30T19:27:35.891597,1.12,3.71,3.33
2025-03-30T19:27:36.053708,-0.76,1.43,8.05
2025-03-30T19:27:36.151380,-2.81,0.24,10.24
2025-03-30T19:27:36.294607,-2.52,-1.12,11.69
2025-03-30T19:27:36.475991,-2.05,0.48,12.35
2025-03-30T19:27:36.538730,-3.03,-1.09,11.97
2025-03-30T19:27:36.697094,-2.9,-0.75,10.01
2025-03-30T19:27:36.841652,-2.65,-0.29,10.07
2025-03-30T19:27:36.961287,-2.68,-0.24,10.32
2025-03-30T19:27:37.105144,-3.19,0.49,11.85
2025-03-30T19:27:37.245057,-2.28,0.78,13.74
2025-03-30T19:27:37.540499,-1.82,1.45,13.23
2025-03-30T19:27:37.542729,-1.09,1.97,9.45
2025-03-30T19:27:37.640877,-0.24,2.24,5.71
2025-03-30T19:27:37.747261,1.6,2.55,1.26
2025-03-30T19:27:37.990472,1.55,3.11,2.75
2025-03-30T19:27:38.041762,-0.37,1.91,7.15
2025-03-30T19:27:38.163540,-3.19,1.39,10.45
2025-03-30T19:27:38.296949,-2.33,1.08,12.02
2025-03-30T19:27:38.391714,-2.0,-1.26,14.2
2025-03-30T19:27:38.541652,-3.45,0.23,11.03
2025-03-30T19:27:38.691792,-2.11,-0.74,10.47
2025-03-30T19:27:38.790808,-3.28,-0.21,9.77
2025-03-30T19:27:39.013724,-2.86,0.12,11.02
