Accelerometer Data
Timestamp,X,Y,Z
2025-04-06T13:48:39.491753,-0.26,0.57,-9.88
2025-04-06T13:48:39.495686,-0.26,0.57,-9.89
2025-04-06T13:48:39.506161,-0.25,0.57,-9.89
2025-04-06T13:48:39.555730,-0.26,0.58,-9.89
2025-04-06T13:48:39.560413,-0.25,0.57,-9.88
2025-04-06T13:48:39.561878,-0.25,0.56,-9.88
2025-04-06T13:48:39.614160,-0.25,0.57,-9.89
2025-04-06T13:48:39.615930,-0.26,0.58,-9.88
2025-04-06T13:48:39.620378,-0.27,0.59,-9.88
2025-04-06T13:48:39.667600,-0.25,0.58,-9.88
2025-04-06T13:48:39.671386,-0.25,0.57,-9.88
2025-04-06T13:48:39.714012,-0.25,0.58,-9.89
2025-04-06T13:48:39.715894,-0.25,0.58,-9.88
2025-04-06T13:48:39.717177,-0.26,0.58,-9.88
2025-04-06T13:48:39.767736,-0.26,0.57,-9.88
2025-04-06T13:48:39.769378,-0.26,0.57,-9.88
2025-04-06T13:48:39.779023,-0.25,0.57,-9.87
2025-04-06T13:48:39.811376,-0.25,0.58,-9.87
2025-04-06T13:48:39.823685,-0.26,0.58,-9.87
2025-04-06T13:48:39.883731,-0.27,0.58,-9.89
2025-04-06T13:48:39.885506,-0.26,0.58,-9.89
2025-04-06T13:48:39.886972,-0.24,0.57,-9.88
2025-04-06T13:48:39.929292,-0.24,0.57,-9.88
2025-04-06T13:48:39.930729,-0.25,0.58,-9.88
2025-04-06T13:48:39.977178,-0.25,0.58,-9.89
2025-04-06T13:48:39.978982,-0.26,0.58,-9.88
2025-04-06T13:48:39.993726,-0.26,0.58,-9.88
2025-04-06T13:48:40.027404,-0.26,0.58,-9.87
2025-04-06T13:48:40.030325,-0.25,0.58,-9.87
2025-04-06T13:48:40.072434,-0.24,0.58,-9.88
2025-04-06T13:48:40.076236,-0.25,0.57,-9.87
2025-04-06T13:48:40.103080,-0.25,0.58,-9.88
2025-04-06T13:48:40.131974,-0.25,0.58,-9.88
2025-04-06T13:48:40.135128,-0.24,0.58,-9.87
2025-04-06T13:48:40.167349,-0.25,0.58,-9.88
2025-04-06T13:48:40.200719,-0.25,0.58,-9.88
2025-04-06T13:48:40.201917,-0.25,0.58,-9.87
2025-04-06T13:48:40.234637,-0.26,0.58,-9.88
2025-04-06T13:48:40.280223,-0.26,0.58,-9.89
2025-04-06T13:48:40.282483,-0.25,0.56,-9.88
2025-04-06T13:48:40.296721,-0.24,0.58,-9.87
2025-04-06T13:48:40.327870,-0.25,0.59,-9.89
2025-04-06T13:48:40.331253,-0.28,0.57,-9.89
2025-04-06T13:48:40.347979,-0.24,0.58,-9.87
2025-04-06T13:48:40.384054,-0.24,0.58,-9.88
2025-04-06T13:48:40.393075,-0.27,0.57,-9.89
2025-04-06T13:48:40.426436,-0.27,0.58,-9.9
2025-04-06T13:48:40.460823,-0.24,0.58,-9.88
2025-04-06T13:48:40.462439,-0.24,0.57,-9.88
2025-04-06T13:48:40.473960,-0.27,0.57,-9.88
2025-04-06T13:48:40.522307,-0.26,0.58,-9.89
2025-04-06T13:48:40.524007,-0.25,0.59,-9.88
2025-04-06T13:48:40.561503,-0.25,0.58,-9.89
2025-04-06T13:48:40.563787,-0.25,0.57,-9.89
2025-04-06T13:48:40.579819,-0.26,0.58,-9.88
2025-04-06T13:48:40.618005,-0.27,0.57,-9.88
2025-04-06T13:48:40.619724,-0.21,0.55,-9.88
2025-04-06T13:48:40.660020,-0.21,0.55,-9.87
2025-04-06T13:48:40.748202,-0.39,0.65,-9.9
2025-04-06T13:48:40.749798,-0.2,0.57,-9.9
2025-04-06T13:48:40.750887,-0.28,0.54,-9.83
2025-04-06T13:48:40.751933,-0.34,0.63,-9.93
2025-04-06T13:48:40.752955,-0.17,0.56,-9.86
2025-04-06T13:48:40.758485,-0.15,0.54,-9.88
2025-04-06T13:48:40.789291,-0.19,0.58,-9.83
2025-04-06T13:48:40.834489,-0.82,0.6,-9.96
2025-04-06T13:48:40.835906,-0.34,0.51,-9.97
2025-04-06T13:48:40.869100,0.54,0.52,-9.73
2025-04-06T13:48:40.870189,-0.37,0.41,-9.81
2025-04-06T13:48:40.899149,-1.06,0.74,-10.08
2025-04-06T13:48:40.909056,-0.13,0.88,-9.94
2025-04-06T13:48:40.938499,0.11,0.4,-9.77
2025-04-06T13:48:40.939738,-0.37,0.45,-9.87
2025-04-06T13:48:40.972793,-0.65,0.71,-10.01
2025-04-06T13:48:41.005730,0.01,0.61,-9.84
2025-04-06T13:48:41.006813,-0.26,0.48,-9.89
2025-04-06T13:48:41.035053,-0.39,0.52,-9.92
2025-04-06T13:48:41.085831,-0.17,0.62,-9.86
2025-04-06T13:48:41.087431,-0.48,0.64,-9.92
2025-04-06T13:48:41.114560,0.16,1.0,-10.05
2025-04-06T13:48:41.120669,1.34,1.52,-10.27
2025-04-06T13:48:41.164335,2.46,2.31,-11.28
2025-04-06T13:48:41.165843,3.11,3.19,-11.86
2025-04-06T13:48:41.210062,2.19,1.77,-12.08
2025-04-06T13:48:41.211747,-0.14,-0.18,-12.55
2025-04-06T13:48:41.241851,-3.11,-0.4,-13.91
2025-04-06T13:48:41.243428,-4.83,0.91,-13.72
2025-04-06T13:48:41.273254,-4.63,1.95,-13.41
2025-04-06T13:48:41.278052,-3.07,3.06,-13.23
2025-04-06T13:48:41.308123,-2.08,1.88,-12.54
2025-04-06T13:48:41.340544,-1.11,1.06,-12.32
2025-04-06T13:48:41.341853,0.49,0.26,-12.06
2025-04-06T13:48:41.378980,1.21,-0.34,-11.23
2025-04-06T13:48:41.380223,1.03,0.6,-11.88
2025-04-06T13:48:41.389026,0.49,1.2,-12.66
2025-04-06T13:48:41.424733,-0.66,1.59,-13.5
2025-04-06T13:48:41.458891,-0.69,1.69,-12.9
2025-04-06T13:48:41.460334,-0.56,1.26,-12.52
2025-04-06T13:48:41.495254,-0.99,1.09,-13.01
2025-04-06T13:48:41.504072,-0.95,0.81,-12.64
2025-04-06T13:48:41.540718,-1.26,0.53,-12.19
2025-04-06T13:48:41.575841,-1.39,0.73,-11.87
2025-04-06T13:48:41.577311,-1.14,0.7,-11.5
2025-04-06T13:48:41.614069,-0.76,0.63,-10.84
2025-04-06T13:48:41.615530,-0.66,0.81,-9.8
2025-04-06T13:48:41.624017,-0.71,0.88,-9.47
2025-04-06T13:48:41.681261,-0.56,0.97,-8.93
2025-04-06T13:48:41.683032,-0.09,0.85,-7.99
2025-04-06T13:48:41.684276,0.03,0.82,-7.43
2025-04-06T13:48:41.727340,0.08,0.75,-7.08
2025-04-06T13:48:41.728784,0.07,0.58,-6.86
2025-04-06T13:48:41.758382,0.06,0.53,-6.86
2025-04-06T13:48:41.765631,0.07,0.49,-6.84
2025-04-06T13:48:41.794660,0.02,0.45,-6.83
2025-04-06T13:48:41.823473,-0.38,0.29,-6.56
2025-04-06T13:48:41.856478,-0.98,0.15,-6.03
2025-04-06T13:48:41.857861,-1.27,-0.04,-5.64
2025-04-06T13:48:41.885905,-1.13,0.16,-5.33
2025-04-06T13:48:41.887007,-1.09,0.27,-5.24
2025-04-06T13:48:41.931891,-1.11,0.3,-5.62
2025-04-06T13:48:41.932977,-1.36,0.32,-6.38
2025-04-06T13:48:41.968757,-1.63,0.46,-7.35
2025-04-06T13:48:41.975882,-1.07,0.51,-8.93
2025-04-06T13:48:42.005779,-0.65,0.17,-9.39
2025-04-06T13:48:42.041318,-1.06,0.07,-9.91
2025-04-06T13:48:42.042637,-1.4,0.46,-10.27
2025-04-06T13:48:42.072751,-1.15,0.75,-9.93
2025-04-06T13:48:42.080833,-0.86,1.09,-9.74
2025-04-06T13:48:42.106922,-0.65,1.23,-9.56
2025-04-06T13:48:42.135983,-0.41,1.28,-9.25
2025-04-06T13:48:42.140052,-0.4,1.28,-9.2
2025-04-06T13:48:42.194591,-0.51,1.34,-9.1
2025-04-06T13:48:42.196205,-0.72,1.2,-9.02
2025-04-06T13:48:42.228098,-0.74,1.01,-9.03
2025-04-06T13:48:42.230206,-0.79,0.85,-9.09
2025-04-06T13:48:42.247687,-0.95,0.8,-9.28
2025-04-06T13:48:42.282589,-1.04,0.67,-9.47
2025-04-06T13:48:42.299516,-0.97,0.55,-9.64
2025-04-06T13:48:42.338269,-0.8,0.63,-9.71
2025-04-06T13:48:42.339856,-0.74,0.83,-9.88
2025-04-06T13:48:42.378269,-0.75,1.03,-10.03
2025-04-06T13:48:42.383375,-0.8,1.11,-9.97
2025-04-06T13:48:42.431621,-0.81,1.06,-9.81
2025-04-06T13:48:42.433099,-0.78,1.1,-9.77
2025-04-06T13:48:42.441189,-0.86,1.05,-9.83
2025-04-06T13:48:42.476756,-0.92,0.9,-9.79
2025-04-06T13:48:42.478273,-0.92,0.8,-9.73
2025-04-06T13:48:42.521602,-0.85,0.66,-9.64
2025-04-06T13:48:42.523054,-0.81,0.8,-9.5
2025-04-06T13:48:42.557246,-0.85,0.88,-9.5
2025-04-06T13:48:42.558602,-0.83,0.97,-9.65
2025-04-06T13:48:42.604202,-0.63,0.91,-9.66
2025-04-06T13:48:42.607955,-0.61,0.86,-9.78
2025-04-06T13:48:42.644431,-0.75,0.8,-9.93
2025-04-06T13:48:42.679858,-0.84,0.67,-9.97
2025-04-06T13:48:42.681799,-0.96,0.67,-10.07
2025-04-06T13:48:42.683530,-0.88,0.77,-10.17
2025-04-06T13:48:42.729576,-0.84,0.78,-10.23
2025-04-06T13:48:42.731702,-0.84,0.79,-10.29
2025-04-06T13:48:42.740299,-0.69,0.76,-10.16
2025-04-06T13:48:42.778544,-0.66,0.79,-10.15
2025-04-06T13:48:42.863719,-0.64,0.59,-10.06
2025-04-06T13:48:42.865896,-0.55,0.48,-9.81
2025-04-06T13:48:42.867680,-0.55,0.54,-9.76
2025-04-06T13:48:42.869545,-0.56,0.64,-9.62
2025-04-06T13:48:42.875617,-0.56,0.47,-9.55
2025-04-06T13:48:42.909526,-0.45,0.38,-9.54
2025-04-06T13:48:42.911171,-0.2,0.28,-9.27
2025-04-06T13:48:42.942906,-0.28,0.07,-8.89
2025-04-06T13:48:42.976049,-0.38,0.07,-8.9
