Accelerometer Data
Timestamp,X,Y,Z
2025-03-30T19:03:12.200687,-1.27,-0.56,9.77
2025-03-30T19:03:12.330692,-1.28,-0.57,9.78
2025-03-30T19:03:12.442526,-1.27,-0.57,9.76
2025-03-30T19:03:12.586419,-1.27,-0.57,9.77
2025-03-30T19:03:12.705661,-1.26,-0.56,9.78
2025-03-30T19:03:12.860955,-1.28,-0.57,9.76
2025-03-30T19:03:12.956715,-1.27,-0.57,9.77
2025-03-30T19:03:13.104880,-1.27,-0.54,9.79
2025-03-30T19:03:13.370636,-1.26,-0.57,9.78
2025-03-30T19:03:13.374873,-1.27,-0.56,9.78
2025-03-30T19:03:13.476919,-1.27,-0.55,9.78
2025-03-30T19:03:13.610111,-1.25,-0.56,9.75
2025-03-30T19:03:13.747139,-1.27,-0.54,9.78
2025-03-30T19:03:13.868807,-1.27,-0.54,9.77
2025-03-30T19:03:14.048662,-1.24,-0.58,9.86
2025-03-30T19:03:14.149928,-0.81,-0.81,10.01
2025-03-30T19:03:14.265188,-1.22,-0.57,9.76
2025-03-30T19:03:14.412193,-1.05,-0.69,9.84
2025-03-30T19:03:14.538131,-0.27,-3.25,13.71
2025-03-30T19:03:14.654402,-2.88,-1.15,12.11
2025-03-30T19:03:14.972231,-2.81,1.78,10.92
2025-03-30T19:03:14.975534,-1.68,-0.49,10.89
2025-03-30T19:03:15.057456,-1.5,-0.18,10.07
2025-03-30T19:03:15.199091,-2.16,-0.39,7.73
2025-03-30T19:03:15.311899,-1.31,-0.59,5.77
2025-03-30T19:03:15.468509,-2.26,-0.26,7.1
2025-03-30T19:03:15.580465,-1.26,-0.24,10.6
2025-03-30T19:03:15.717600,-1.73,0.65,10.06
2025-03-30T19:03:15.883711,-2.73,-0.61,8.79
2025-03-30T19:03:15.974469,-1.55,-0.02,9.68
2025-03-30T19:03:16.093818,-3.51,-0.17,9.46
2025-03-30T19:03:16.251829,-1.72,-0.26,9.63
2025-03-30T19:03:16.370002,-2.35,-1.08,9.25
2025-03-30T19:03:16.493158,-3.92,-2.15,8.93
2025-03-30T19:03:16.620820,-3.03,-2.64,8.81
2025-03-30T19:03:16.767663,-2.02,-0.21,7.49
2025-03-30T19:03:16.892033,-1.56,-0.51,6.72
2025-03-30T19:03:17.025479,-1.59,-0.44,8.46
2025-03-30T19:03:17.134293,-2.37,-0.78,9.73
2025-03-30T19:03:17.268690,-2.1,-0.37,11.24
2025-03-30T19:03:17.383206,-2.27,-0.27,10.78
2025-03-30T19:03:17.503705,-2.11,-0.76,10.59
2025-03-30T19:03:17.616618,-2.1,-0.83,11.26
2025-03-30T19:03:17.744445,-2.93,-0.7,11.81
2025-03-30T19:03:17.865547,-2.46,-0.72,13.24
2025-03-30T19:03:18.005865,-2.3,-0.57,11.86
2025-03-30T19:03:18.116464,-1.81,-0.38,8.53
2025-03-30T19:03:18.253304,-1.09,-0.09,6.5
2025-03-30T19:03:18.363619,-2.13,-0.25,6.03
2025-03-30T19:03:18.498980,-2.13,-0.18,9.49
2025-03-30T19:03:18.631120,-2.17,-0.56,8.47
2025-03-30T19:03:18.756357,-1.95,-0.34,7.53
2025-03-30T19:03:18.898374,-1.97,-0.51,6.07
2025-03-30T19:03:19.009818,-1.42,-0.8,10.1
2025-03-30T19:03:19.144314,-2.63,-0.3,11.18
2025-03-30T19:03:19.278893,-1.91,-0.68,11.03
2025-03-30T19:03:19.413547,-2.31,-0.69,11.6
2025-03-30T19:03:19.526911,-2.4,-0.66,12.06
2025-03-30T19:03:19.662485,-2.63,-0.8,12.68
2025-03-30T19:03:19.793635,-2.62,-0.91,13.1
2025-03-30T19:03:19.963116,-1.69,-0.47,9.9
2025-03-30T19:03:20.057678,-1.47,-0.14,6.39
2025-03-30T19:03:20.180234,-1.21,0.02,5.36
2025-03-30T19:03:20.343788,-2.07,-0.26,9.11
2025-03-30T19:03:20.461704,-1.89,-0.3,8.24
2025-03-30T19:03:20.576599,-1.63,-0.18,6.93
2025-03-30T19:03:20.704975,-1.36,-0.71,7.38
2025-03-30T19:03:20.832658,-2.4,-0.53,10.48
2025-03-30T19:03:20.946387,-2.16,-0.42,11.32
2025-03-30T19:03:21.097429,-2.18,-0.74,11.16
2025-03-30T19:03:21.213618,-2.12,-0.65,11.27
2025-03-30T19:03:21.346277,-2.45,-0.65,12.14
2025-03-30T19:03:21.462928,-2.54,-0.82,12.99
2025-03-30T19:03:21.603333,-2.67,-0.71,12.61
2025-03-30T19:03:21.723511,-1.45,-0.62,9.81
2025-03-30T19:03:21.841625,-1.29,-0.56,6.12
2025-03-30T19:03:21.966196,-1.03,-0.19,5.95
2025-03-30T19:03:22.090094,-1.94,-0.48,8.65
2025-03-30T19:03:22.221874,-1.64,-0.4,7.92
2025-03-30T19:03:22.353699,-1.48,-0.6,7.21
2025-03-30T19:03:22.489169,-1.47,-0.76,8.13
2025-03-30T19:03:22.623111,-2.21,-0.64,10.47
2025-03-30T19:03:22.760752,-2.0,-0.76,11.58
2025-03-30T19:03:22.857382,-2.22,-0.66,11.45
2025-03-30T19:03:22.993318,-2.28,-0.81,11.7
2025-03-30T19:03:23.136764,-2.33,-0.83,12.27
2025-03-30T19:03:23.249566,-2.62,-1.09,13.32
2025-03-30T19:03:23.380346,-1.93,-0.78,11.5
2025-03-30T19:03:23.509127,-1.65,-0.35,8.03
2025-03-30T19:03:23.653902,-1.47,-0.16,5.36
2025-03-30T19:03:23.787390,-1.35,-0.86,7.59
2025-03-30T19:03:23.902112,-2.07,-0.13,8.54
2025-03-30T19:03:24.032212,-1.45,-0.53,7.75
2025-03-30T19:03:24.162264,-1.58,-0.4,6.79
2025-03-30T19:03:24.283955,-1.17,-0.92,9.85
2025-03-30T19:03:24.410405,-2.3,-0.2,11.22
2025-03-30T19:03:24.547389,-2.11,-0.52,11.98
2025-03-30T19:03:24.684410,-2.49,-0.8,11.68
2025-03-30T19:03:24.822620,-2.0,-0.77,11.8
2025-03-30T19:03:24.934559,-2.37,-0.88,12.66
2025-03-30T19:03:25.067696,-2.24,-0.67,12.59
2025-03-30T19:03:25.199289,-1.85,-0.49,10.2
2025-03-30T19:03:25.332723,-1.41,-0.23,6.81
2025-03-30T19:03:25.437589,-0.83,-0.28,5.25
2025-03-30T19:03:25.568891,-1.74,-0.73,8.77
2025-03-30T19:03:25.700138,-1.99,-0.14,8.29
2025-03-30T19:03:25.815216,-1.22,-0.37,6.71
2025-03-30T19:03:25.943438,-1.41,-0.32,7.35
2025-03-30T19:03:26.070195,-2.06,-1.04,9.29
2025-03-30T19:03:26.186578,-2.32,-0.77,10.46
2025-03-30T19:03:26.317907,-2.07,-0.83,11.66
2025-03-30T19:03:26.444007,-2.3,-0.46,11.76
2025-03-30T19:03:26.568295,-2.12,-0.72,11.8
2025-03-30T19:03:26.716374,-2.55,-0.77,12.76
2025-03-30T19:03:26.832765,-2.24,-0.56,12.98
2025-03-30T19:03:26.968248,-1.76,-0.21,9.98
2025-03-30T19:03:27.100451,-1.02,-0.44,5.68
2025-03-30T19:03:27.235628,-1.06,-0.02,5.87
2025-03-30T19:03:27.382827,-2.07,-0.53,9.23
2025-03-30T19:03:27.500165,-1.78,-0.29,7.8
2025-03-30T19:03:27.617065,-1.31,-0.22,6.9
2025-03-30T19:03:27.772218,-1.65,-0.57,7.71
2025-03-30T19:03:27.884014,-2.18,-0.47,11.27
