Accelerometer Data
Timestamp,X,Y,Z
2025-03-30T16:23:51.527678,-3.37,-0.03,10.42
2025-03-30T16:23:51.641566,-0.18,-1.46,11.77
2025-03-30T16:23:51.814556,-2.56,-0.86,9.47
2025-03-30T16:23:51.885002,-0.99,-1.22,7.08
2025-03-30T16:23:52.072181,-1.41,-1.46,5.95
2025-03-30T16:23:52.140333,-1.22,-1.31,7.41
2025-03-30T16:23:52.283669,-1.5,-1.64,9.62
2025-03-30T16:23:52.396453,-2.05,-1.76,9.25
2025-03-30T16:23:52.551025,-1.3,0.09,10.46
2025-03-30T16:23:52.656602,-2.32,-0.8,11.43
2025-03-30T16:23:52.800296,-1.65,-0.06,11.09
2025-03-30T16:23:52.923909,-0.4,-0.55,12.29
2025-03-30T16:23:53.021015,0.17,1.11,11.67
2025-03-30T16:23:53.201687,-0.93,0.48,10.8
2025-03-30T16:23:53.281388,-0.39,0.66,10.29
2025-03-30T16:23:53.427827,0.02,0.33,9.95
2025-03-30T16:23:53.570277,-0.28,-0.27,8.64
2025-03-30T16:23:53.682338,1.22,-0.7,6.35
2025-03-30T16:23:53.813376,-0.02,-2.26,7.16
2025-03-30T16:23:53.924460,2.0,-2.77,9.57
2025-03-30T16:23:54.066827,0.05,-2.75,10.39
2025-03-30T16:23:54.192591,3.21,-2.66,8.29
2025-03-30T16:23:54.317451,2.68,-4.81,8.26
2025-03-30T16:23:54.466204,3.51,-5.96,7.18
2025-03-30T16:23:54.585540,3.95,-6.12,6.37
2025-03-30T16:23:54.702976,4.53,-5.79,6.29
2025-03-30T16:23:54.879118,5.0,-6.28,6.47
2025-03-30T16:23:54.987818,4.49,-6.13,6.42
2025-03-30T16:23:55.103574,5.02,-6.29,5.88
2025-03-30T16:23:55.247958,4.19,-6.17,7.36
2025-03-30T16:23:55.373452,3.98,-5.52,7.57
2025-03-30T16:23:55.493118,3.41,-5.05,6.33
2025-03-30T16:23:55.599091,4.03,-5.49,6.95
2025-03-30T16:23:55.759346,4.85,-6.02,7.94
2025-03-30T16:23:55.868084,4.53,-6.53,6.7
2025-03-30T16:23:55.984956,3.69,-6.68,6.11
2025-03-30T16:23:56.138040,3.34,-5.18,5.16
2025-03-30T16:23:56.230262,1.02,-0.97,2.55
2025-03-30T16:23:56.352482,3.58,-6.01,4.17
2025-03-30T16:23:56.459232,5.54,-6.49,7.02
2025-03-30T16:23:56.590844,7.5,-5.98,9.3
2025-03-30T16:23:56.719397,7.66,-6.83,7.7
2025-03-30T16:23:56.843083,8.58,-6.66,7.39
2025-03-30T16:23:56.986238,8.87,-6.16,7.99
2025-03-30T16:23:57.109719,9.08,-5.87,7.05
2025-03-30T16:23:57.246315,9.22,-5.87,6.79
2025-03-30T16:23:57.387950,8.53,-5.94,7.48
2025-03-30T16:23:57.505811,5.14,-4.3,4.73
2025-03-30T16:23:57.636758,2.19,-2.98,1.94
2025-03-30T16:23:57.750873,2.84,-4.44,2.88
2025-03-30T16:23:57.900410,4.43,-5.56,6.71
2025-03-30T16:23:58.042010,3.53,-4.02,4.08
2025-03-30T16:23:58.171044,2.25,-1.52,2.52
2025-03-30T16:23:58.285912,5.06,-5.98,5.27
2025-03-30T16:23:58.418797,7.4,-7.84,7.88
2025-03-30T16:23:58.532804,8.37,-7.33,8.11
2025-03-30T16:23:58.662759,10.25,-7.43,8.1
2025-03-30T16:23:58.807457,9.47,-6.93,7.89
2025-03-30T16:23:58.920477,9.49,-6.68,7.28
2025-03-30T16:23:59.076899,8.7,-6.31,6.76
2025-03-30T16:23:59.194522,5.65,-5.41,4.63
2025-03-30T16:23:59.320423,2.47,-2.54,1.86
2025-03-30T16:23:59.454737,2.69,-4.01,2.0
2025-03-30T16:23:59.572303,5.18,-7.21,4.28
2025-03-30T16:23:59.720124,4.13,-3.51,3.28
2025-03-30T16:23:59.827855,2.52,-2.35,2.46
2025-03-30T16:23:59.975925,5.62,-5.49,4.78
2025-03-30T16:24:00.083959,8.56,-6.26,7.6
2025-03-30T16:24:00.210685,9.7,-6.65,8.07
2025-03-30T16:24:00.345433,11.21,-6.53,7.56
2025-03-30T16:24:00.469774,10.48,-6.88,7.85
2025-03-30T16:24:00.605715,9.27,-5.96,7.06
2025-03-30T16:24:00.730458,9.09,-5.54,6.61
2025-03-30T16:24:00.892189,7.08,-5.46,6.03
2025-03-30T16:24:00.978356,3.35,-1.92,2.72
2025-03-30T16:24:01.135138,2.33,-2.43,1.37
2025-03-30T16:24:01.249360,5.76,-7.64,4.38
2025-03-30T16:24:01.376426,4.18,-3.04,3.11
2025-03-30T16:24:01.501726,2.24,-1.93,1.69
2025-03-30T16:24:01.648920,5.13,-5.24,3.85
2025-03-30T16:24:01.771092,8.7,-6.52,5.82
2025-03-30T16:24:01.890665,10.21,-8.48,6.21
2025-03-30T16:24:02.016831,10.65,-7.2,6.86
2025-03-30T16:24:02.159971,10.27,-7.65,6.09
2025-03-30T16:24:02.300633,9.57,-6.29,5.55
2025-03-30T16:24:02.417868,9.22,-5.44,5.49
2025-03-30T16:24:02.563493,7.27,-5.44,4.07
2025-03-30T16:24:02.684690,3.63,-2.13,2.23
2025-03-30T16:24:02.813102,2.84,-3.26,2.11
2025-03-30T16:24:02.939751,5.27,-7.24,4.53
2025-03-30T16:24:03.080989,3.2,-2.94,3.68
2025-03-30T16:24:03.194116,2.97,-2.94,1.76
2025-03-30T16:24:03.321819,7.0,-5.04,4.25
2025-03-30T16:24:03.463053,9.48,-7.53,5.07
2025-03-30T16:24:03.576310,10.67,-7.66,6.59
2025-03-30T16:24:03.711509,12.93,-7.54,7.12
2025-03-30T16:24:03.832069,11.16,-6.27,6.3
2025-03-30T16:24:03.968664,10.06,-5.41,5.22
2025-03-30T16:24:04.096929,10.04,-5.99,4.65
2025-03-30T16:24:04.230091,6.74,-3.61,3.2
2025-03-30T16:24:04.366164,3.02,-2.02,1.68
2025-03-30T16:24:04.483485,3.85,-4.34,2.18
2025-03-30T16:24:04.604072,5.75,-5.72,3.18
2025-03-30T16:24:04.735574,2.86,-1.18,2.31
