Timestamp,X,Y,Z
2025-04-06T11:25:15.817226,0.43,0.17,9.91
2025-04-06T11:25:15.824316,0.43,0.18,9.91
2025-04-06T11:25:15.872759,0.43,0.17,9.91
2025-04-06T11:25:15.882461,0.42,0.17,9.91
2025-04-06T11:25:15.924113,0.44,0.18,9.91
2025-04-06T11:25:15.970820,0.43,0.17,9.9
2025-04-06T11:25:15.976609,0.42,0.17,9.9
2025-04-06T11:25:16.029208,0.42,0.17,9.9
2025-04-06T11:25:16.034667,0.43,0.17,9.89
2025-04-06T11:25:16.065714,0.54,0.09,10.01
2025-04-06T11:25:16.095052,0.56,-0.31,10.32
2025-04-06T11:25:16.131111,0.28,0.71,9.74
2025-04-06T11:25:16.169328,-0.48,0.75,9.31
2025-04-06T11:25:16.175668,0.18,0.38,9.97
2025-04-06T11:25:16.218105,0.21,0.06,10.12
2025-04-06T11:25:16.252772,0.17,0.52,9.82
2025-04-06T11:25:16.267884,0.27,0.59,9.82
2025-04-06T11:25:16.306966,0.21,0.41,9.93
2025-04-06T11:25:16.320245,0.07,0.34,9.89
2025-04-06T11:25:16.350781,0.08,0.34,9.88
2025-04-06T11:25:16.379432,0.21,0.44,9.89
2025-04-06T11:25:16.409058,0.19,0.38,9.9
2025-04-06T11:25:16.438957,0.09,0.12,9.91
2025-04-06T11:25:16.474824,-0.2,-0.16,9.95
2025-04-06T11:25:16.506880,0.33,1.68,9.78
2025-04-06T11:25:16.545120,0.27,0.02,9.89
2025-04-06T11:25:16.564738,0.1,0.35,9.94
2025-04-06T11:25:16.595790,-0.14,0.48,9.91
2025-04-06T11:25:16.629949,0.27,0.48,9.9
2025-04-06T11:25:16.656213,0.03,0.36,9.91
2025-04-06T11:25:16.689326,0.14,0.45,9.88
2025-04-06T11:25:16.704428,0.11,0.41,9.91
2025-04-06T11:25:16.733149,0.13,0.43,9.87
2025-04-06T11:25:16.762918,0.1,0.42,9.91
2025-04-06T11:25:16.794448,0.13,0.42,9.9
2025-04-06T11:25:16.836604,0.1,0.41,9.88
2025-04-06T11:25:16.851506,0.12,0.43,9.89
2025-04-06T11:25:16.881657,0.11,0.41,9.88
2025-04-06T11:25:16.912433,0.11,0.41,9.89
2025-04-06T11:25:16.943046,0.1,0.42,9.89
2025-04-06T11:25:16.976020,0.11,0.43,9.89
2025-04-06T11:25:17.009103,0.11,0.41,9.88
2025-04-06T11:25:17.040019,0.1,0.42,9.87
2025-04-06T11:25:17.090301,0.1,0.43,9.93
2025-04-06T11:25:17.095321,0.11,0.42,9.88
2025-04-06T11:25:17.129183,0.11,0.43,9.89
2025-04-06T11:25:17.159093,0.09,0.43,9.89
2025-04-06T11:25:17.189177,0.09,0.44,9.91
2025-04-06T11:25:17.224800,0.14,0.46,9.9
2025-04-06T11:25:17.255277,0.14,0.58,9.89
2025-04-06T11:25:17.300939,-0.13,0.5,9.86
2025-04-06T11:25:17.305440,0.07,0.42,9.93
2025-04-06T11:25:17.351463,0.29,0.19,9.92
2025-04-06T11:25:17.382418,0.28,0.28,9.83
2025-04-06T11:25:17.387684,0.06,0.49,9.89
2025-04-06T11:25:17.416534,-0.04,0.61,9.87
2025-04-06T11:25:17.446855,-0.06,0.48,9.88
2025-04-06T11:25:17.479208,0.12,0.3,9.9
2025-04-06T11:25:17.511999,0.26,0.4,9.88
2025-04-06T11:25:17.542287,0.16,0.49,9.88
2025-04-06T11:25:17.583389,-0.0,0.45,9.89
2025-04-06T11:25:17.609452,-0.02,0.4,9.88
2025-04-06T11:25:17.643306,0.12,0.45,9.89
2025-04-06T11:25:17.675898,0.19,0.44,9.88
2025-04-06T11:25:17.685411,0.1,0.42,9.89
2025-04-06T11:25:17.715675,0.04,0.42,9.89
2025-04-06T11:25:17.745630,0.07,0.45,9.88
2025-04-06T11:25:17.775934,0.12,0.44,9.88
2025-04-06T11:25:17.810703,0.12,0.42,9.89
2025-04-06T11:25:17.855481,0.08,0.43,9.89
2025-04-06T11:25:17.859516,0.09,0.44,9.89
2025-04-06T11:25:17.896619,0.1,0.43,9.89
2025-04-06T11:25:17.925783,0.09,0.43,9.9
2025-04-06T11:25:17.955598,0.09,0.42,9.87
2025-04-06T11:25:17.996291,0.09,0.43,9.89
2025-04-06T11:25:18.030146,0.1,0.44,9.9
2025-04-06T11:25:18.038853,0.09,0.42,9.89
2025-04-06T11:25:18.076935,0.1,0.44,9.88
2025-04-06T11:25:18.105508,0.09,0.42,9.89
2025-04-06T11:25:18.149228,0.1,0.43,9.89
2025-04-06T11:25:18.184199,0.08,0.44,9.87
2025-04-06T11:25:18.214517,0.09,0.43,9.9
2025-04-06T11:25:18.218873,0.1,0.43,9.9
2025-04-06T11:25:18.248745,0.09,0.43,9.89
2025-04-06T11:25:18.276723,0.09,0.44,9.88
2025-04-06T11:25:18.322555,0.1,0.44,9.89
2025-04-06T11:25:18.345549,0.08,0.44,9.88
2025-04-06T11:25:18.375593,0.09,0.43,9.88
2025-04-06T11:25:18.405942,0.09,0.43,9.88
2025-04-06T11:25:18.419827,0.11,0.44,9.9
2025-04-06T11:25:18.450635,0.07,0.44,9.85
2025-04-06T11:25:18.479237,0.09,0.44,9.89
2025-04-06T11:25:18.519122,0.08,0.43,9.89
2025-04-06T11:25:18.553486,0.09,0.44,9.89
2025-04-06T11:25:18.573291,0.09,0.42,9.88
2025-04-06T11:25:18.604713,0.08,0.44,9.88
2025-04-06T11:25:18.637060,0.08,0.43,9.89
2025-04-06T11:25:18.668877,0.08,0.44,9.88
2025-04-06T11:25:18.688688,0.08,0.43,9.89
2025-04-06T11:25:18.718780,0.08,0.44,9.88
2025-04-06T11:25:18.746857,0.09,0.44,9.88
2025-04-06T11:25:18.771505,0.08,0.43,9.89
2025-04-06T11:25:18.804829,0.09,0.44,9.9
2025-04-06T11:25:18.839316,0.08,0.43,9.89
2025-04-06T11:25:18.881288,0.09,0.44,9.88
2025-04-06T11:25:18.910852,0.08,0.43,9.88
2025-04-06T11:25:18.942530,0.09,0.43,9.89
2025-04-06T11:25:18.953369,0.07,0.44,9.89
2025-04-06T11:25:18.990356,0.08,0.44,9.87
2025-04-06T11:25:19.028517,0.08,0.44,9.89
2025-04-06T11:25:19.065540,0.08,0.43,9.89
2025-04-06T11:25:19.095898,0.08,0.44,9.87
2025-04-06T11:25:19.102275,0.08,0.44,9.89
2025-04-06T11:25:19.132770,0.08,0.44,9.9
2025-04-06T11:25:19.161739,0.09,0.43,9.89
2025-04-06T11:25:19.191836,0.08,0.44,9.89
2025-04-06T11:25:19.228189,0.08,0.44,9.89
2025-04-06T11:25:19.255910,0.09,0.44,9.89
2025-04-06T11:25:19.296778,0.07,0.44,9.91
2025-04-06T11:25:19.331740,0.09,0.45,9.88
2025-04-06T11:25:19.360514,0.08,0.43,9.89
2025-04-06T11:25:19.389610,0.08,0.44,9.87
2025-04-06T11:25:19.401741,0.08,0.43,9.9
2025-04-06T11:25:19.431674,0.09,0.44,9.89
2025-04-06T11:25:19.463822,0.08,0.44,9.89
2025-04-06T11:25:19.492590,0.07,0.44,9.89
2025-04-06T11:25:19.523988,0.07,0.43,9.89
2025-04-06T11:25:19.562966,0.07,0.44,9.89
2025-04-06T11:25:19.595792,0.07,0.44,9.88
2025-04-06T11:25:19.607348,0.07,0.45,9.88
2025-04-06T11:25:19.637610,0.07,0.43,9.88
2025-04-06T11:25:19.686910,0.07,0.43,9.89
2025-04-06T11:25:19.724962,0.09,0.44,9.88
2025-04-06T11:25:19.729970,0.08,0.44,9.89
2025-04-06T11:25:19.771441,0.08,0.43,9.89
2025-04-06T11:25:19.785798,0.07,0.43,9.88
2025-04-06T11:25:19.814064,0.08,0.43,9.89
2025-04-06T11:25:19.844101,0.08,0.44,9.9
2025-04-06T11:25:19.874105,0.07,0.44,9.88
2025-04-06T11:25:19.905222,0.08,0.43,9.89
2025-04-06T11:25:19.951902,0.08,0.44,9.88
2025-04-06T11:25:19.985903,0.08,0.43,9.89
2025-04-06T11:25:19.991167,0.07,0.44,9.88
2025-04-06T11:25:20.023670,0.08,0.44,9.89
2025-04-06T11:25:20.064697,0.07,0.44,9.89
2025-04-06T11:25:20.097877,0.08,0.44,9.89
2025-04-06T11:25:20.102916,0.08,0.44,9.89
2025-04-06T11:25:20.129402,0.07,0.43,9.89
2025-04-06T11:25:20.164293,0.09,0.45,9.89
2025-04-06T11:25:20.195140,0.07,0.43,9.88
2025-04-06T11:25:20.224546,0.08,0.43,9.89
2025-04-06T11:25:20.259585,0.08,0.43,9.9
2025-04-06T11:25:20.290485,0.08,0.43,9.88
2025-04-06T11:25:20.327980,0.08,0.44,9.89
2025-04-06T11:25:20.369118,0.07,0.43,9.89
2025-04-06T11:25:20.374238,0.07,0.44,9.88
2025-04-06T11:25:20.428104,0.08,0.43,9.9
2025-04-06T11:25:20.434534,0.07,0.45,9.89
2025-04-06T11:25:20.467272,0.07,0.44,9.89
2025-04-06T11:25:20.497794,0.06,0.44,9.89
2025-04-06T11:25:20.527599,0.09,0.44,9.88
2025-04-06T11:25:20.557199,0.07,0.44,9.89
2025-04-06T11:25:20.592289,0.08,0.43,9.89
2025-04-06T11:25:20.622664,0.08,0.43,9.89
2025-04-06T11:25:20.648198,0.09,0.43,9.88
2025-04-06T11:25:20.673252,0.07,0.44,9.89
2025-04-06T11:25:20.710834,0.09,0.43,9.88
2025-04-06T11:25:20.740189,0.09,0.43,9.88
2025-04-06T11:25:20.773456,0.08,0.43,9.89
2025-04-06T11:25:20.810420,0.08,0.44,9.88
2025-04-06T11:25:20.819541,0.08,0.44,9.88
2025-04-06T11:25:20.849401,0.07,0.43,9.88
2025-04-06T11:25:20.881046,0.08,0.44,9.89
2025-04-06T11:25:20.915122,0.07,0.44,9.89
2025-04-06T11:25:20.950515,0.07,0.43,9.88
2025-04-06T11:25:20.978567,0.08,0.44,9.9
2025-04-06T11:25:21.007240,0.07,0.44,9.88
2025-04-06T11:25:21.047796,0.07,0.43,9.89
2025-04-06T11:25:21.081196,0.08,0.44,9.89
2025-04-06T11:25:21.124611,0.08,0.43,9.89
2025-04-06T11:25:21.129424,0.07,0.43,9.89
2025-04-06T11:25:21.163360,0.08,0.44,9.88
2025-04-06T11:25:21.193412,0.07,0.43,9.88
2025-04-06T11:25:21.226443,0.08,0.44,9.89
2025-04-06T11:25:21.239440,0.08,0.44,9.89
2025-04-06T11:25:21.261842,0.07,0.44,9.89
2025-04-06T11:25:21.291535,0.06,0.44,9.9
2025-04-06T11:25:21.323579,0.07,0.44,9.88
2025-04-06T11:25:21.363629,0.07,0.44,9.88
2025-04-06T11:25:21.397900,0.08,0.44,9.89
2025-04-06T11:25:21.432972,0.07,0.43,9.88
2025-04-06T11:25:21.462700,0.08,0.44,9.88
2025-04-06T11:25:21.472924,0.08,0.44,9.9
2025-04-06T11:25:21.501874,0.07,0.44,9.89
2025-04-06T11:25:21.532311,0.08,0.43,9.88
2025-04-06T11:25:21.557593,0.08,0.43,9.89
2025-04-06T11:25:21.598088,0.08,0.44,9.89
2025-04-06T11:25:21.624633,0.07,0.44,9.88
2025-04-06T11:25:21.655454,0.08,0.44,9.9
2025-04-06T11:25:21.699333,0.08,0.43,9.88
2025-04-06T11:25:21.705867,0.09,0.44,9.89
2025-04-06T11:25:21.741323,0.07,0.44,9.89
2025-04-06T11:25:21.781031,0.08,0.44,9.88
2025-04-06T11:25:21.811243,0.07,0.43,9.88
2025-04-06T11:25:21.852947,0.08,0.43,9.88
2025-04-06T11:25:21.856425,0.07,0.44,9.89
2025-04-06T11:25:21.884754,0.07,0.45,9.88
2025-04-06T11:25:21.914732,0.08,0.44,9.89
2025-04-06T11:25:21.944285,0.07,0.43,9.88
2025-04-06T11:25:21.977202,0.07,0.44,9.89
2025-04-06T11:25:22.006963,0.07,0.44,9.89
2025-04-06T11:25:22.045008,0.07,0.44,9.88
2025-04-06T11:25:22.072398,0.07,0.44,9.89
2025-04-06T11:25:22.105164,0.07,0.44,9.89
2025-04-06T11:25:22.124408,0.07,0.44,9.89
2025-04-06T11:25:22.154767,0.07,0.44,9.89
2025-04-06T11:25:22.176295,0.08,0.43,9.89
2025-04-06T11:25:22.206965,0.08,0.44,9.9
2025-04-06T11:25:22.241060,0.07,0.44,9.89
2025-04-06T11:25:22.287700,0.08,0.44,9.88
2025-04-06T11:25:22.320124,0.07,0.44,9.88
2025-04-06T11:25:22.352656,0.06,0.44,9.89
2025-04-06T11:25:22.358572,0.08,0.44,9.89
2025-04-06T11:25:22.389395,0.07,0.44,9.88
2025-04-06T11:25:22.419159,0.07,0.45,9.89
2025-04-06T11:25:22.448156,0.07,0.44,9.88
2025-04-06T11:25:22.488172,0.07,0.44,9.89
2025-04-06T11:25:22.499543,0.08,0.43,9.89
2025-04-06T11:25:22.529690,0.08,0.44,9.89
2025-04-06T11:25:22.559740,0.07,0.44,9.89
2025-04-06T11:25:22.591851,0.07,0.44,9.89
2025-04-06T11:25:22.624624,0.08,0.44,9.9
2025-04-06T11:25:22.655468,0.06,0.44,9.88
2025-04-06T11:25:22.701590,0.07,0.44,9.88
2025-04-06T11:25:22.760509,0.08,0.43,9.89
2025-04-06T11:25:22.765960,0.08,0.44,9.88
2025-04-06T11:25:22.770600,0.07,0.44,9.89
2025-04-06T11:25:22.803575,0.08,0.44,9.88
2025-04-06T11:25:22.835696,0.07,0.44,9.89
2025-04-06T11:25:22.865695,0.08,0.44,9.89
2025-04-06T11:25:22.897372,0.07,0.44,9.88
2025-04-06T11:25:22.932363,0.07,0.44,9.88
2025-04-06T11:25:22.974488,0.07,0.44,9.89
2025-04-06T11:25:22.979461,0.08,0.44,9.89
2025-04-06T11:25:23.011516,0.06,0.44,9.88
2025-04-06T11:25:23.044330,0.07,0.44,9.89
2025-04-06T11:25:23.074683,0.07,0.44,9.89
2025-04-06T11:25:23.113370,0.07,0.43,9.88
2025-04-06T11:25:23.123845,0.07,0.44,9.88
2025-04-06T11:25:23.154534,0.07,0.44,9.87
2025-04-06T11:25:23.184520,0.07,0.43,9.88
2025-04-06T11:25:23.221115,0.07,0.44,9.88
2025-04-06T11:25:23.254064,0.06,0.44,9.89
2025-04-06T11:25:23.287125,0.07,0.44,9.88
2025-04-06T11:25:23.317996,0.07,0.43,9.88
2025-04-06T11:25:23.349378,0.06,0.44,9.9
2025-04-06T11:25:23.355526,0.07,0.45,9.89
2025-04-06T11:25:23.386551,0.08,0.43,9.89
2025-04-06T11:25:23.414380,0.06,0.45,9.89
2025-04-06T11:25:23.449140,0.06,0.44,9.88
2025-04-06T11:25:23.474711,0.07,0.43,9.9
2025-04-06T11:25:23.507840,0.08,0.44,9.88
2025-04-06T11:25:23.541568,0.06,0.44,9.9
2025-04-06T11:25:23.575707,0.07,0.44,9.88
2025-04-06T11:25:23.606993,0.07,0.44,9.88
2025-04-06T11:25:23.623891,0.07,0.44,9.9
2025-04-06T11:25:23.655100,0.08,0.44,9.88
2025-04-06T11:25:23.683274,0.07,0.43,9.89
