Accelerometer Data
Timestamp,X,Y,Z
2025-04-06T14:28:51.360974,-0.45,0.68,-9.88
2025-04-06T14:28:51.368287,-0.45,0.67,-9.89
2025-04-06T14:28:51.404041,-0.45,0.67,-9.89
2025-04-06T14:28:51.412475,-0.45,0.66,-9.88
2025-04-06T14:28:51.438753,-0.45,0.66,-9.88
2025-04-06T14:28:51.470324,-0.45,0.68,-9.88
2025-04-06T14:28:51.505144,-0.44,0.66,-9.89
2025-04-06T14:28:51.506282,-0.45,0.67,-9.9
2025-04-06T14:28:51.529577,-0.45,0.67,-9.89
2025-04-06T14:28:51.541042,-0.45,0.67,-9.88
2025-04-06T14:28:51.572098,-0.45,0.67,-9.89
2025-04-06T14:28:51.578125,-0.45,0.67,-9.89
2025-04-06T14:28:51.615861,-0.44,0.67,-9.89
2025-04-06T14:28:51.617370,-0.44,0.67,-9.89
2025-04-06T14:28:51.644452,-0.44,0.66,-9.89
2025-04-06T14:28:51.677592,-0.45,0.68,-9.89
2025-04-06T14:28:51.681998,-0.45,0.67,-9.88
2025-04-06T14:28:51.709540,-0.44,0.66,-9.89
2025-04-06T14:28:51.764609,-0.44,0.66,-9.89
2025-04-06T14:28:51.765946,-0.45,0.67,-9.89
2025-04-06T14:28:51.767032,-0.44,0.67,-9.88
2025-04-06T14:28:51.794416,-0.46,0.68,-9.89
2025-04-06T14:28:51.803017,-0.46,0.69,-9.89
2025-04-06T14:28:51.832635,-0.43,0.66,-9.89
2025-04-06T14:28:51.862542,-0.45,0.67,-9.88
2025-04-06T14:28:51.868912,-0.46,0.67,-9.89
2025-04-06T14:28:51.922508,-0.45,0.68,-9.88
2025-04-06T14:28:51.924028,-0.44,0.67,-9.88
2025-04-06T14:28:51.929483,-0.45,0.67,-9.88
2025-04-06T14:28:51.960210,-0.45,0.66,-9.88
2025-04-06T14:28:51.974252,-0.45,0.66,-9.89
2025-04-06T14:28:51.997065,-0.45,0.66,-9.9
2025-04-06T14:28:52.028666,-0.44,0.66,-9.89
2025-04-06T14:28:52.035481,-0.44,0.67,-9.88
2025-04-06T14:28:52.075270,-0.45,0.67,-9.89
2025-04-06T14:28:52.081,-0.44,0.66,-9.88
2025-04-06T14:28:52.112844,-0.44,0.66,-9.88
2025-04-06T14:28:52.118765,-0.44,0.66,-9.89
2025-04-06T14:28:52.144795,-0.44,0.67,-9.88
2025-04-06T14:28:52.177360,-0.45,0.67,-9.89
2025-04-06T14:28:52.185701,-0.45,0.67,-9.88
2025-04-06T14:28:52.213135,-0.44,0.66,-9.88
