Timestamp,X,Y,Z
2025-02-20 12:00:00+00:00,0.05,0.11,1.12
2025-02-20 12:00:00.029797377+00:00,0.06,0.06,1.05
2025-02-20 12:00:00.059594755+00:00,0.02,0.08,0.98
2025-02-20 12:00:00.089392133+00:00,0.03,0.1,1.0
2025-02-20 12:00:00.119189511+00:00,0.01,0.13,1.05
2025-02-20 12:00:00.148986889+00:00,0.03,0.08,0.97
2025-02-20 12:00:00.178784266+00:00,-0.01,0.03,0.95
2025-02-20 12:00:00.208581644+00:00,-0.06,0.1,0.91
2025-02-20 12:00:00.238379022+00:00,-0.08,0.04,0.92
2025-02-20 12:00:00.268176400+00:00,-0.03,-0.0,0.9
2025-02-20 12:00:00.297973778+00:00,-0.06,0.02,0.89
2025-02-20 12:00:00.327771156+00:00,-0.06,0.05,0.98
2025-02-20 12:00:00.357568533+00:00,-0.06,-0.01,0.96
2025-02-20 12:00:00.387365911+00:00,-0.02,-0.05,0.87
2025-02-20 12:00:00.417163289+00:00,-0.04,0.02,0.88
2025-02-20 12:00:00.446960667+00:00,-0.02,0.05,0.99
2025-02-20 12:00:00.476758045+00:00,0.05,-0.0,1.11
2025-02-20 12:00:00.506555423+00:00,0.02,-0.01,1.04
2025-02-20 12:00:00.536352800+00:00,0.01,0.04,1.02
2025-02-20 12:00:00.566150178+00:00,0.03,0.1,0.94
2025-02-20 12:00:00.595947556+00:00,0.08,0.05,1.06
2025-02-20 12:00:00.625744934+00:00,0.09,0.03,1.03
2025-02-20 12:00:00.655542312+00:00,0.07,0.11,0.98
2025-02-20 12:00:00.685339690+00:00,0.09,0.1,1.03
2025-02-20 12:00:00.715137067+00:00,0.06,0.09,1.1
2025-02-20 12:00:00.744934445+00:00,0.08,0.03,1.14
2025-02-20 12:00:00.774731823+00:00,0.05,0.05,1.08
2025-02-20 12:00:00.804529201+00:00,0.03,0.07,1.05
2025-02-20 12:00:00.834326579+00:00,0.01,0.09,1.08
2025-02-20 12:00:00.864123957+00:00,0.02,0.09,1.09
2025-02-20 12:00:00.893921334+00:00,0.04,0.09,1.06
2025-02-20 12:00:00.923718712+00:00,0.07,0.11,1.02
2025-02-20 12:00:00.953516090+00:00,0.08,0.1,1.0
2025-02-20 12:00:00.983313468+00:00,0.07,0.13,0.99
2025-02-20 12:00:01.013110846+00:00,0.09,0.13,1.02
2025-02-20 12:00:01.042908224+00:00,0.06,0.16,0.99
2025-02-20 12:00:01.072705601+00:00,0.04,0.15,0.99
2025-02-20 12:00:01.102502979+00:00,0.03,0.15,1.01
2025-02-20 12:00:01.132300357+00:00,0.03,0.14,0.99
2025-02-20 12:00:01.162097735+00:00,0.03,0.16,0.96
2025-02-20 12:00:01.191895113+00:00,0.05,0.13,0.99
2025-02-20 12:00:01.221692491+00:00,0.0,0.1,1.08
2025-02-20 12:00:01.251489868+00:00,-0.04,0.11,1.23
2025-02-20 12:00:01.281287246+00:00,-0.08,0.07,1.29
2025-02-20 12:00:01.311084624+00:00,-0.12,0.01,1.47
2025-02-20 12:00:01.340882002+00:00,-0.12,-0.0,1.63
2025-02-20 12:00:01.370679380+00:00,-0.09,-0.04,1.62
2025-02-20 12:00:01.400476758+00:00,0.01,-0.1,1.68
2025-02-20 12:00:01.430274135+00:00,0.1,-0.15,1.79
2025-02-20 12:00:01.460071513+00:00,0.13,-0.13,1.79
2025-02-20 12:00:01.489868891+00:00,0.15,-0.14,1.63
2025-02-20 12:00:01.519666269+00:00,0.16,-0.12,1.35
2025-02-20 12:00:01.549463647+00:00,-0.01,0.02,1.02
2025-02-20 12:00:01.579261025+00:00,-0.01,-0.09,1.01
2025-02-20 12:00:01.609058402+00:00,-0.01,-0.09,0.77
2025-02-20 12:00:01.638855780+00:00,-0.05,-0.07,0.54
2025-02-20 12:00:01.668653158+00:00,-0.17,-0.09,0.36
2025-02-20 12:00:01.698450536+00:00,-0.15,-0.21,0.1
2025-02-20 12:00:01.728247914+00:00,-0.23,-0.16,-0.09
2025-02-20 12:00:01.758045292+00:00,-0.41,-0.14,-0.16
2025-02-20 12:00:01.787842669+00:00,-0.52,-0.3,-0.19
2025-02-20 12:00:01.817640047+00:00,-0.59,-0.41,-0.05
2025-02-20 12:00:01.847437425+00:00,-0.63,-0.51,0.15
2025-02-20 12:00:01.877234803+00:00,-0.61,-0.62,0.2
2025-02-20 12:00:01.907032181+00:00,-0.68,-0.53,0.15
2025-02-20 12:00:01.936829558+00:00,-0.73,-0.49,0.16
2025-02-20 12:00:01.966626936+00:00,-0.67,-0.52,0.15
2025-02-20 12:00:01.996424314+00:00,-0.68,-0.47,0.09
2025-02-20 12:00:02.026221692+00:00,-0.68,-0.45,0.09
2025-02-20 12:00:02.056019070+00:00,-0.59,-0.54,0.2
2025-02-20 12:00:02.085816448+00:00,-0.54,-0.58,0.22
2025-02-20 12:00:02.115613825+00:00,-0.53,-0.47,0.07
2025-02-20 12:00:02.145411203+00:00,-0.53,-0.48,0.25
2025-02-20 12:00:02.175208581+00:00,-0.46,-0.56,0.4
2025-02-20 12:00:02.205005959+00:00,-0.42,-0.44,0.23
2025-02-20 12:00:02.234803337+00:00,-0.44,-0.39,0.32
2025-02-20 12:00:02.264600715+00:00,-0.33,-0.49,0.56
2025-02-20 12:00:02.294398092+00:00,-0.26,-0.43,0.44
2025-02-20 12:00:02.324195470+00:00,-0.48,-0.03,0.38
2025-02-20 12:00:02.353992848+00:00,-0.21,-0.35,0.99
2025-02-20 12:00:02.383790226+00:00,-0.15,-0.48,0.96
2025-02-20 12:00:02.413587604+00:00,-0.38,0.0,0.7
2025-02-20 12:00:02.443384982+00:00,-0.12,-0.28,1.08
2025-02-20 12:00:02.473182359+00:00,-0.1,-0.28,1.04
2025-02-20 12:00:02.502979737+00:00,-0.24,0.13,0.91
2025-02-20 12:00:02.532777115+00:00,0.06,-0.25,1.45
2025-02-20 12:00:02.562574493+00:00,-0.06,-0.01,1.16
2025-02-20 12:00:02.592371871+00:00,-0.04,0.07,1.09
2025-02-20 12:00:02.622169249+00:00,0.12,-0.11,1.2
2025-02-20 12:00:02.651966626+00:00,0.04,0.12,1.04
