Timestamp,X,Y,Z
2025-03-03 12:00:00+00:00,-2.81,-1.11,7.89
2025-03-03 12:00:00.029797377+00:00,-1.65,-0.67,9.24
2025-03-03 12:00:00.059594755+00:00,-1.13,-0.94,9.91
2025-03-03 12:00:00.089392133+00:00,-1.16,-0.83,9.75
2025-03-03 12:00:00.119189511+00:00,1.25,-1.76,11.61
2025-03-03 12:00:00.148986889+00:00,-3.49,-3.88,11.53
2025-03-03 12:00:00.178784266+00:00,-0.98,-1.55,11.9
2025-03-03 12:00:00.208581644+00:00,-0.91,-1.26,11.31
2025-03-03 12:00:00.238379022+00:00,-0.87,-1.46,10.7
2025-03-03 12:00:00.268176400+00:00,-1.11,-1.08,8.66
2025-03-03 12:00:00.297973778+00:00,-0.11,-0.05,6.58
2025-03-03 12:00:00.327771156+00:00,-0.03,-0.43,7.36
2025-03-03 12:00:00.357568533+00:00,-1.11,2.72,10.8
2025-03-03 12:00:00.387365911+00:00,-0.53,-0.8,10.2
2025-03-03 12:00:00.417163289+00:00,-2.22,-1.1,9.0
2025-03-03 12:00:00.446960667+00:00,-1.07,-0.03,9.75
2025-03-03 12:00:00.476758045+00:00,-1.27,0.25,10.54
2025-03-03 12:00:00.506555423+00:00,-2.05,0.0,11.66
2025-03-03 12:00:00.536352800+00:00,-1.94,-0.19,12.78
2025-03-03 12:00:00.566150178+00:00,-1.5,0.74,11.88
2025-03-03 12:00:00.595947556+00:00,-1.09,0.15,10.14
2025-03-03 12:00:00.625744934+00:00,-0.83,1.37,7.29
2025-03-03 12:00:00.655542312+00:00,-2.03,1.3,4.03
2025-03-03 12:00:00.685339690+00:00,-3.11,2.64,2.76
2025-03-03 12:00:00.715137067+00:00,-0.92,1.94,6.99
2025-03-03 12:00:00.744934445+00:00,0.56,0.67,9.0
2025-03-03 12:00:00.774731823+00:00,1.84,-0.07,11.01
2025-03-03 12:00:00.804529201+00:00,0.14,0.8,11.71
2025-03-03 12:00:00.834326579+00:00,0.65,0.55,12.5
2025-03-03 12:00:00.864123957+00:00,1.14,0.63,11.58
2025-03-03 12:00:00.893921334+00:00,0.67,0.67,11.03
2025-03-03 12:00:00.923718712+00:00,-0.02,0.74,10.43
2025-03-03 12:00:00.953516090+00:00,0.76,1.0,9.99
2025-03-03 12:00:00.983313468+00:00,0.28,0.92,10.32
2025-03-03 12:00:01.013110846+00:00,0.32,1.34,10.58
2025-03-03 12:00:01.042908224+00:00,-0.31,1.3,11.63
2025-03-03 12:00:01.072705601+00:00,-0.24,0.85,12.68
2025-03-03 12:00:01.102502979+00:00,-1.29,1.43,11.97
2025-03-03 12:00:01.132300357+00:00,-1.68,2.07,10.7
2025-03-03 12:00:01.162097735+00:00,-1.5,2.02,7.76
2025-03-03 12:00:01.191895113+00:00,-2.25,2.16,4.49
2025-03-03 12:00:01.221692491+00:00,-3.83,3.78,1.85
2025-03-03 12:00:01.251489868+00:00,-2.8,3.96,4.1
2025-03-03 12:00:01.281287246+00:00,-1.7,2.33,7.1
2025-03-03 12:00:01.311084624+00:00,0.75,2.13,10.33
2025-03-03 12:00:01.340882002+00:00,0.35,1.49,11.3
2025-03-03 12:00:01.370679380+00:00,1.1,0.66,11.68
2025-03-03 12:00:01.400476758+00:00,0.8,1.35,11.14
2025-03-03 12:00:01.430274135+00:00,-0.23,0.79,11.25
2025-03-03 12:00:01.460071513+00:00,0.34,1.76,10.86
2025-03-03 12:00:01.489868891+00:00,0.71,1.03,9.95
2025-03-03 12:00:01.519666269+00:00,0.22,1.16,10.21
2025-03-03 12:00:01.549463647+00:00,0.21,1.21,10.26
2025-03-03 12:00:01.579261025+00:00,0.27,1.72,10.73
2025-03-03 12:00:01.609058402+00:00,-0.48,2.03,11.16
2025-03-03 12:00:01.638855780+00:00,-0.63,1.45,12.24
2025-03-03 12:00:01.668653158+00:00,-1.71,2.41,11.8
2025-03-03 12:00:01.698450536+00:00,-1.85,2.52,10.5
2025-03-03 12:00:01.728247914+00:00,-1.27,2.54,8.16
2025-03-03 12:00:01.758045292+00:00,-0.91,2.34,6.09
2025-03-03 12:00:01.787842669+00:00,-4.04,3.29,-0.07
2025-03-03 12:00:01.817640047+00:00,-3.12,4.47,3.14
2025-03-03 12:00:01.847437425+00:00,-1.42,2.11,7.98
2025-03-03 12:00:01.877234803+00:00,-0.41,2.58,9.93
2025-03-03 12:00:01.907032181+00:00,-0.92,1.73,11.16
2025-03-03 12:00:01.936829558+00:00,-1.38,2.98,10.89
2025-03-03 12:00:01.966626936+00:00,-0.92,1.51,10.84
