Accelerometer Data
Timestamp,X,Y,Z
2025-02-26T21:11:05.900576,-0.22,-0.02,0.98
2025-02-26T21:11:05.917182,-0.22,-0.02,0.98
2025-02-26T21:11:05.922916,-0.22,-0.02,0.98
2025-02-26T21:11:05.930272,-0.22,-0.02,0.98
2025-02-26T21:11:06.000356,-0.22,-0.02,0.98
2025-02-26T21:11:06.004573,-0.22,-0.02,0.98
2025-02-26T21:11:06.157284,-0.22,-0.02,0.98
2025-02-26T21:11:06.160785,-0.22,-0.02,0.98
2025-02-26T21:11:06.163266,-0.22,-0.02,0.98
2025-02-26T21:11:06.232335,-0.22,-0.02,0.98
2025-02-26T21:11:06.236407,-0.22,-0.02,0.98
2025-02-26T21:11:06.240042,-0.22,-0.02,0.98
2025-02-26T21:11:06.243592,-0.22,-0.02,0.98
2025-02-26T21:11:06.317460,-0.22,-0.02,0.98
2025-02-26T21:11:06.321252,-0.22,-0.02,0.98
2025-02-26T21:11:06.324267,-0.22,-0.02,0.98
2025-02-26T21:11:06.396214,-0.22,-0.02,0.98
2025-02-26T21:11:06.399526,-0.22,-0.02,0.98
2025-02-26T21:11:06.402466,-0.22,-0.02,0.98
2025-02-26T21:11:06.477007,-0.23,-0.02,0.98
2025-02-26T21:11:06.482433,-0.22,-0.02,0.98
2025-02-26T21:11:06.485618,-0.28,-0.02,0.97
2025-02-26T21:11:06.488426,-0.17,-0.04,1.0
2025-02-26T21:11:06.582715,-0.21,-0.01,0.98
2025-02-26T21:11:06.585774,-0.24,0.01,0.97
2025-02-26T21:11:06.589191,-0.23,-0.04,0.98
2025-02-26T21:11:06.641714,-0.22,-0.06,0.98
2025-02-26T21:11:06.644256,-0.23,-0.02,0.97
2025-02-26T21:11:06.719761,-0.22,0.0,0.98
2025-02-26T21:11:06.722606,-0.2,-0.03,0.99
2025-02-26T21:11:06.725775,-0.24,-0.03,0.98
2025-02-26T21:11:06.777988,-0.26,-0.01,0.97
2025-02-26T21:11:06.782714,-0.23,-0.01,0.98
2025-02-26T21:11:06.870932,-0.17,-0.04,0.99
2025-02-26T21:11:06.873414,-0.23,-0.06,0.97
2025-02-26T21:11:06.875323,-0.25,-0.04,0.97
2025-02-26T21:11:06.929295,-0.2,-0.01,0.99
2025-02-26T21:11:06.931978,-0.21,-0.01,0.97
2025-02-26T21:11:06.986919,-0.24,-0.04,0.99
2025-02-26T21:11:06.989071,-0.26,-0.08,0.95
2025-02-26T21:11:07.042597,-0.15,-0.06,1.05
2025-02-26T21:11:07.108664,-0.19,0.09,0.95
2025-02-26T21:11:07.110575,-0.27,0.13,0.97
2025-02-26T21:11:07.127387,-0.34,0.04,0.95
2025-02-26T21:11:07.169266,-0.38,-0.04,1.03
2025-02-26T21:11:07.175594,-0.54,-0.08,1.12
2025-02-26T21:11:07.227574,-0.4,-0.09,1.2
2025-02-26T21:11:07.229591,-0.03,-0.1,1.17
2025-02-26T21:11:07.325605,0.06,-0.08,1.15
2025-02-26T21:11:07.384102,-0.1,0.07,1.15
2025-02-26T21:11:07.386194,-0.26,0.09,1.16
2025-02-26T21:11:07.388551,-0.37,0.03,1.15
2025-02-26T21:11:07.390512,-0.42,-0.04,1.17
2025-02-26T21:11:07.432113,-0.48,-0.09,1.15
2025-02-26T21:11:07.434309,-0.45,-0.09,1.19
2025-02-26T21:11:07.486563,-0.32,-0.12,1.19
2025-02-26T21:11:07.534607,-0.19,-0.13,1.17
2025-02-26T21:11:07.536732,-0.09,-0.16,1.19
2025-02-26T21:11:07.582514,-0.08,-0.11,1.2
2025-02-26T21:11:07.584504,-0.09,-0.07,1.14
2025-02-26T21:11:07.632742,-0.2,-0.06,1.09
2025-02-26T21:11:07.733733,-0.26,-0.03,1.08
2025-02-26T21:11:07.735444,-0.32,-0.01,1.04
2025-02-26T21:11:07.738898,-0.38,-0.02,0.99
2025-02-26T21:11:07.740919,-0.36,0.0,0.95
2025-02-26T21:11:07.782789,-0.27,0.04,0.94
2025-02-26T21:11:07.838212,-0.22,0.03,0.89
2025-02-26T21:11:07.840112,-0.18,-0.02,0.84
2025-02-26T21:11:07.891802,-0.12,-0.01,0.77
2025-02-26T21:11:07.894140,-0.1,0.01,0.7
2025-02-26T21:11:07.946514,-0.1,0.03,0.65
2025-02-26T21:11:07.997562,-0.09,0.02,0.62
2025-02-26T21:11:07.999821,-0.07,0.01,0.57
2025-02-26T21:11:08.053621,-0.13,0.02,0.6
2025-02-26T21:11:08.055624,-0.2,0.02,0.73
2025-02-26T21:11:08.135484,-0.22,-0.0,0.8
2025-02-26T21:11:08.137533,-0.16,-0.03,0.84
2025-02-26T21:11:08.139575,-0.17,-0.0,0.87
2025-02-26T21:11:08.183154,-0.18,0.02,0.91
2025-02-26T21:11:08.184877,-0.17,0.04,0.94
2025-02-26T21:11:08.229267,-0.09,0.02,0.95
2025-02-26T21:11:08.231023,0.06,0.04,0.98
2025-02-26T21:11:08.324638,0.02,0.02,0.99
2025-02-26T21:11:08.326294,-0.03,0.01,1.0
2025-02-26T21:11:08.327673,-0.09,0.02,1.05
2025-02-26T21:11:08.374617,-0.15,0.01,1.05
2025-02-26T21:11:08.376259,-0.13,-0.01,1.01
2025-02-26T21:11:08.429430,-0.11,-0.0,0.96
2025-02-26T21:11:08.481968,-0.14,0.0,0.95
2025-02-26T21:11:08.483673,-0.15,0.01,0.99
2025-02-26T21:11:08.530409,-0.16,-0.0,1.02
2025-02-26T21:11:08.532176,-0.17,-0.01,1.03
2025-02-26T21:11:08.576174,-0.18,0.01,1.05
2025-02-26T21:11:08.626116,-0.19,0.03,1.01
2025-02-26T21:11:08.627927,-0.17,0.01,0.94
2025-02-26T21:11:08.680538,-0.13,0.0,0.86
2025-02-26T21:11:08.682369,-0.16,0.0,0.8
2025-02-26T21:11:08.774623,-0.15,0.02,0.76
2025-02-26T21:11:08.776339,-0.15,0.02,0.72
2025-02-26T21:11:08.787811,-0.17,0.01,0.73
2025-02-26T21:11:08.825976,-0.16,-0.0,0.72
2025-02-26T21:11:08.828130,-0.17,-0.01,0.72
2025-02-26T21:11:08.882557,-0.19,0.0,0.75
2025-02-26T21:11:08.974209,-0.21,-0.0,0.8
2025-02-26T21:11:08.976052,-0.19,-0.03,0.84
2025-02-26T21:11:08.992027,-0.15,-0.02,0.83
2025-02-26T21:11:09.025927,-0.17,-0.02,0.82
2025-02-26T21:11:09.027658,-0.16,0.02,0.88
2025-02-26T21:11:09.029109,-0.2,0.0,0.97
2025-02-26T21:11:09.076177,-0.28,-0.05,1.04
2025-02-26T21:11:09.175559,-0.2,-0.04,1.01
2025-02-26T21:11:09.177656,-0.22,0.01,1.01
